model,fecha,prev_sbs_date,prev_vc,vc_sbs,target_ret,base_ret,base_vc,ret_EPU,ret_SPBLSCUP,D_PE,z_PE,shock_active,correction_ret,corrected_ret,corrected_vc
niveles,2026-02-19,2026-02-18,68.88723490000001,69.1669852,0.004060988953992428,-0.07899430637351201,63.44553556108532,0.0180200712035698,0.00809110679793279,0.009928964405637009,1.4600156110935791,True,0.0019832745312994135,-0.0770110318422126,63.58215785959413
niveles,2026-02-20,2026-02-19,69.1669852,69.9947923,0.011968240304335298,-0.06553228081386442,64.6343149028252,0.0173607903820973,0.011598506112412643,0.005762284269684656,0.8605760183390322,False,0.0,-0.06553228081386442,64.6343149028252
niveles,2026-02-23,2026-02-20,69.9947923,70.5307253,0.007656755344068733,-0.08044058050515601,64.36437057505017,0.0111532451389202,0.006237244605471481,0.0049160005334487195,0.7041352993823972,False,0.0,-0.08044058050515601,64.36437057505017
niveles,2026-02-24,2026-02-23,70.5307253,71.4637068,0.013228015110174907,-0.07065179854720627,65.54760270471606,0.0167659009669958,0.012511109591850644,0.004254791375145155,0.5784178927540518,False,0.0,-0.07065179854720627,65.54760270471606
niveles,2026-02-25,2026-02-24,71.4637068,72.0136832,0.007695884031585276,-0.07074771651652423,66.4078127300936,0.0129095512851655,0.014832320504163832,-0.0019227692189983311,-0.3173675602471865,False,0.0,-0.07074771651652423,66.4078127300936
niveles,2026-02-26,2026-02-25,72.0136832,71.9823344,-0.00043531727037127155,-0.07656891066928906,66.49967392409272,0.0009638677866903,0.0048792388387410845,-0.003915371052050785,-0.5950857860724513,False,0.0,-0.07656891066928906,66.49967392409272
niveles,2026-02-27,2026-02-26,71.9823344,72.1394286,0.0021823993526945973,-0.07090734943481747,66.87825786156532,0.0040658812020157,0.014721137080933255,-0.010655255878917556,-1.493035919054394,True,-0.0020281290762075295,-0.072935478511025,66.73226839619538
niveles,2026-03-02,2026-02-27,72.1394286,72.0701188,-0.0009607755612303093,-0.08188350466976069,66.23239936135803,-0.0049019512193535,0.0004567600487210832,-0.005358711268074583,-0.6722893431308785,False,0.0,-0.08188350466976069,66.23239936135803
niveles,2026-03-03,2026-03-02,72.0701188,69.2514343,-0.03911030739136234,-0.1287000832190237,62.79468851283508,-0.0624330089220126,-0.0600256538469901,-0.002407355075022502,-0.2539516669369051,False,0.0,-0.1287000832190237,62.79468851283508
niveles,2026-03-04,2026-03-03,69.2514343,69.74213900000001,0.007085841686314431,-0.08289272408300019,63.510994264218084,0.0127926336738719,0.010037931353501728,0.0027547023203701726,0.42217557889752044,False,0.0,-0.08289272408300019,63.510994264218084
niveles,2026-03-05,2026-03-04,69.74213900000001,67.8341914,-0.027357170676970743,-0.1155560801340989,61.68301079699254,-0.0445471639766604,-0.0433249370277079,-0.0012222269489524998,-0.14584958212801244,False,0.0,-0.1155560801340989,61.68301079699254
niveles,2026-03-06,2026-03-05,67.8341914,67.3626335,-0.006951625578011877,-0.1021180229651476,60.90709788479258,-0.0180594754160955,-0.016587677725118377,-0.0014717976909771231,-0.15584487214297324,False,0.0,-0.1021180229651476,60.90709788479258
