pair,k,fecha,period,active,majority_count,n_conf,majority_sign,aligned,outlier,pattern,base,target,corr
US,6,2026-06-04,PRE,False,5,6,-1,ret_QQQ,ret_SPY,QQQ_DOWN_SPY_UP,-0.0105594515832818,-0.008416192562385127,-0.0105594515832818
US,6,2026-07-08,TRAIN,False,4,6,-1,ret_SPY,ret_QQQ,QQQ_UP_SPY_DOWN,-0.0009709762557685,-0.001746806880565499,-0.0009709762557685
US,6,2026-07-15,TRAIN,False,3,6,0,,,QQQ_DOWN_SPY_UP,-0.0079551239892028,-0.008458202674095805,-0.0079551239892028
US,6,2026-07-20,TRAIN,False,4,6,1,ret_QQQ,ret_SPY,QQQ_UP_SPY_DOWN,-0.0019211459521712,-0.0022124270089529663,-0.0019211459521712
US,6,2026-07-24,TRAIN,True,6,6,-1,ret_QQQ,ret_SPY,QQQ_DOWN_SPY_UP,-0.0240750202488745,-0.018859849963174136,-0.024127236269237642
US,6,2026-07-27,TRAIN,False,5,6,1,ret_SPY,ret_QQQ,QQQ_DOWN_SPY_UP,-0.0014593460167311,-0.0017900987206110885,-0.0014593460167311
US,6,2026-07-28,TRAIN,False,4,5,-1,ret_QQQ,ret_SPY,QQQ_DOWN_SPY_UP,-0.0185261285634325,-0.023116331541812585,-0.0185261285634325
US,6,2026-08-19,OOS,True,6,6,1,ret_SPY,ret_QQQ,QQQ_DOWN_SPY_UP,0.0060924215332506,0.00997810334032101,0.006040205512887457
PE,3,2026-01-07,PRE,True,5,6,-1,ret_EPU,ret_SPBLSCUP,EPU_DOWN_SPBLSCUP_UP,0.0022373769864915,-0.004238537720703817,0.0018955939716827621
PE,3,2026-01-16,PRE,True,6,6,-1,ret_EPU,ret_SPBLSCUP,EPU_DOWN_SPBLSCUP_UP,0.0036338911567062,0.0004670445843297788,0.003292108141897462
PE,3,2026-01-21,PRE,True,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.0074168144029519,0.005098137564183869,0.007125533346170184
PE,3,2026-01-22,PRE,True,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.002188038803997,0.012102545415126897,0.001896757747215284
PE,3,2026-03-02,PRE,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.0069645063373042,-0.0009607755612303093,-0.0069645063373042
PE,3,2026-04-17,PRE,True,6,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.007387378920328,0.00860251979306792,0.007096097863546284
PE,3,2026-05-05,PRE,True,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.021116554719508,-0.003245722317144706,0.020825273662726285
PE,3,2026-05-18,PRE,True,5,6,-1,ret_SPBLSCUP,ret_EPU,EPU_UP_SPBLSCUP_DOWN,-0.0035248323938032,-0.007239919263304695,-0.003816113450584916
PE,3,2026-05-27,PRE,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,0.0374958558987766,0.021687081709971245,0.0374958558987766
PE,3,2026-06-01,PRE,True,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.0129846786039607,-9.224718577161006e-05,0.012693397547178985
PE,3,2026-06-15,PRE,True,6,6,1,ret_SPBLSCUP,ret_EPU,EPU_DOWN_SPBLSCUP_UP,0.0257651922998625,0.03018501243796412,0.02542340928505376
PE,3,2026-06-25,PRE,True,5,6,1,ret_SPBLSCUP,ret_EPU,EPU_DOWN_SPBLSCUP_UP,0.0180242699524423,0.010089230516794778,0.017682486937633562
PE,3,2026-06-26,PRE,True,5,6,-1,ret_SPBLSCUP,ret_EPU,EPU_UP_SPBLSCUP_DOWN,-0.0083416107276802,-0.004681213145730889,-0.008632891784461916
PE,3,2026-07-01,PRE,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.010242208888519,-0.003119596935229896,-0.010242208888519
PE,3,2026-07-15,TRAIN,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.0079551239892028,-0.008458202674095805,-0.0079551239892028
PE,3,2026-07-20,TRAIN,True,4,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,-0.0019211459521712,-0.0022124270089529663,-0.002212427008952916
PE,3,2026-07-27,TRAIN,True,5,6,1,ret_SPBLSCUP,ret_EPU,EPU_DOWN_SPBLSCUP_UP,-0.0014593460167311,-0.0017900987206110885,-0.001801129031539838
PE,3,2026-08-10,TRAIN,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.0065869998346808,-0.006778517490334091,-0.0065869998346808
PE,3,2026-08-24,OOS,True,4,6,-1,ret_SPBLSCUP,ret_EPU,EPU_UP_SPBLSCUP_DOWN,-0.0088882805750203,-0.011513122467057602,-0.009179561631802016
PE,4,2026-01-07,PRE,True,5,6,-1,ret_EPU,ret_SPBLSCUP,EPU_DOWN_SPBLSCUP_UP,0.0022373769864915,-0.004238537720703817,0.0018955939716827621
PE,4,2026-01-16,PRE,True,6,6,-1,ret_EPU,ret_SPBLSCUP,EPU_DOWN_SPBLSCUP_UP,0.0036338911567062,0.0004670445843297788,0.003292108141897462
PE,4,2026-01-21,PRE,True,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.0074168144029519,0.005098137564183869,0.007125533346170184
PE,4,2026-01-22,PRE,True,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.002188038803997,0.012102545415126897,0.001896757747215284
PE,4,2026-03-02,PRE,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.0069645063373042,-0.0009607755612303093,-0.0069645063373042
PE,4,2026-04-17,PRE,True,6,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.007387378920328,0.00860251979306792,0.007096097863546284
PE,4,2026-05-05,PRE,True,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.021116554719508,-0.003245722317144706,0.020825273662726285
PE,4,2026-05-18,PRE,True,5,6,-1,ret_SPBLSCUP,ret_EPU,EPU_UP_SPBLSCUP_DOWN,-0.0035248323938032,-0.007239919263304695,-0.003816113450584916
PE,4,2026-05-27,PRE,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,0.0374958558987766,0.021687081709971245,0.0374958558987766
PE,4,2026-06-01,PRE,True,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.0129846786039607,-9.224718577161006e-05,0.012693397547178985
PE,4,2026-06-15,PRE,True,6,6,1,ret_SPBLSCUP,ret_EPU,EPU_DOWN_SPBLSCUP_UP,0.0257651922998625,0.03018501243796412,0.02542340928505376
PE,4,2026-06-25,PRE,True,5,6,1,ret_SPBLSCUP,ret_EPU,EPU_DOWN_SPBLSCUP_UP,0.0180242699524423,0.010089230516794778,0.017682486937633562
PE,4,2026-06-26,PRE,True,5,6,-1,ret_SPBLSCUP,ret_EPU,EPU_UP_SPBLSCUP_DOWN,-0.0083416107276802,-0.004681213145730889,-0.008632891784461916
PE,4,2026-07-01,PRE,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.010242208888519,-0.003119596935229896,-0.010242208888519
PE,4,2026-07-15,TRAIN,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.0079551239892028,-0.008458202674095805,-0.0079551239892028
PE,4,2026-07-20,TRAIN,True,4,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,-0.0019211459521712,-0.0022124270089529663,-0.002212427008952916
PE,4,2026-07-27,TRAIN,True,5,6,1,ret_SPBLSCUP,ret_EPU,EPU_DOWN_SPBLSCUP_UP,-0.0014593460167311,-0.0017900987206110885,-0.001801129031539838
PE,4,2026-08-10,TRAIN,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.0065869998346808,-0.006778517490334091,-0.0065869998346808
PE,4,2026-08-24,OOS,True,4,6,-1,ret_SPBLSCUP,ret_EPU,EPU_UP_SPBLSCUP_DOWN,-0.0088882805750203,-0.011513122467057602,-0.009179561631802016
PE,5,2026-01-07,PRE,True,5,6,-1,ret_EPU,ret_SPBLSCUP,EPU_DOWN_SPBLSCUP_UP,0.0022373769864915,-0.004238537720703817,0.0018955939716827621
PE,5,2026-01-16,PRE,True,6,6,-1,ret_EPU,ret_SPBLSCUP,EPU_DOWN_SPBLSCUP_UP,0.0036338911567062,0.0004670445843297788,0.003292108141897462
PE,5,2026-01-21,PRE,True,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.0074168144029519,0.005098137564183869,0.007125533346170184
PE,5,2026-01-22,PRE,True,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.002188038803997,0.012102545415126897,0.001896757747215284
PE,5,2026-03-02,PRE,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.0069645063373042,-0.0009607755612303093,-0.0069645063373042
PE,5,2026-04-17,PRE,True,6,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.007387378920328,0.00860251979306792,0.007096097863546284
PE,5,2026-05-05,PRE,True,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.021116554719508,-0.003245722317144706,0.020825273662726285
PE,5,2026-05-18,PRE,True,5,6,-1,ret_SPBLSCUP,ret_EPU,EPU_UP_SPBLSCUP_DOWN,-0.0035248323938032,-0.007239919263304695,-0.003816113450584916
PE,5,2026-05-27,PRE,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,0.0374958558987766,0.021687081709971245,0.0374958558987766
PE,5,2026-06-01,PRE,True,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.0129846786039607,-9.224718577161006e-05,0.012693397547178985
PE,5,2026-06-15,PRE,True,6,6,1,ret_SPBLSCUP,ret_EPU,EPU_DOWN_SPBLSCUP_UP,0.0257651922998625,0.03018501243796412,0.02542340928505376
PE,5,2026-06-25,PRE,True,5,6,1,ret_SPBLSCUP,ret_EPU,EPU_DOWN_SPBLSCUP_UP,0.0180242699524423,0.010089230516794778,0.017682486937633562
PE,5,2026-06-26,PRE,True,5,6,-1,ret_SPBLSCUP,ret_EPU,EPU_UP_SPBLSCUP_DOWN,-0.0083416107276802,-0.004681213145730889,-0.008632891784461916
PE,5,2026-07-01,PRE,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.010242208888519,-0.003119596935229896,-0.010242208888519
PE,5,2026-07-15,TRAIN,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.0079551239892028,-0.008458202674095805,-0.0079551239892028
PE,5,2026-07-20,TRAIN,False,4,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,-0.0019211459521712,-0.0022124270089529663,-0.0019211459521712
PE,5,2026-07-27,TRAIN,True,5,6,1,ret_SPBLSCUP,ret_EPU,EPU_DOWN_SPBLSCUP_UP,-0.0014593460167311,-0.0017900987206110885,-0.001801129031539838
PE,5,2026-08-10,TRAIN,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.0065869998346808,-0.006778517490334091,-0.0065869998346808
