model,fecha,actual_vc,prev_vc,target_ret,base_ret,correction_ret,corrected_ret,base_vc,corrected_vc,z_US,z_PE,z_CH,selected_feature_set,selected_threshold,shock_active
niveles,2026-08-18,69.6328126,71.5395979,-0.026653564682672215,-0.030501851661832502,0.0,-0.030501851661832502,69.35750769690706,69.35750769690706,-1.20982435065951,-0.5214258579202956,1.4007260861708384,PE,1.0,False
niveles,2026-08-19,70.327616,69.6328126,0.00997810334032101,0.005083161090635224,0.0022933484976558898,0.007376509588291114,69.9867674036398,70.14645970980358,-0.47125913508358447,1.6882809492147468,-0.2780878143180197,PE,1.0,True
niveles,2026-08-20,71.0427094,70.327616,0.01016803128944388,0.0028603873670491886,0.0,0.0028603873670491886,70.52878022436109,70.52878022436109,0.25450212961065805,0.18760260424582234,-0.40253257395601855,PE,1.0,False
niveles,2026-08-21,71.8058461,71.0427094,0.010741942508177837,0.008286097894633304,0.0,0.008286097894633304,71.6313762447884,71.6313762447884,0.056721589715854295,0.4304681409354003,-0.3525056790602719,PE,1.0,False
niveles,2026-08-24,70.9791366,71.8058461,-0.011513122467057602,-0.012038964132289998,0.0,-0.012038964132289998,70.94137809431336,70.94137809431336,-0.8054765283604757,0.40853506697625225,0.0327820437479336,PE,1.0,False
niveles,2026-08-25,71.7441786,70.9791366,0.010778406679012642,0.015425379485535462,0.0,0.015425379485535462,72.07401671761066,72.07401671761066,0.5227494317490766,-0.43505261280276947,-0.8406551248736429,PE,1.0,False
niveles,2026-08-26,71.9377875,71.7441786,0.0026986008311480347,0.0024004723985766585,0.0,0.0024004723985766585,71.91639852048785,71.91639852048785,0.2304028017120691,-0.39113185348084795,0.03051069144199942,PE,1.0,False
retornos,2026-08-18,69.6328126,71.5395979,-0.026653564682672215,-0.0252871966482794,0.0,-0.0252871966482794,69.73056201976387,69.73056201976387,-1.20982435065951,-0.5214258579202956,1.4007260861708384,PE,1.5,False
retornos,2026-08-19,70.327616,69.6328126,0.00997810334032101,0.0060924215332506,0.002896147468319768,0.008988569001570367,70.05704504690503,70.2587119408285,-0.47125913508358447,1.6882809492147468,-0.2780878143180197,PE,1.5,True
retornos,2026-08-20,71.0427094,70.327616,0.01016803128944388,0.0070929691334681,0.0,0.0070929691334681,70.8264476095184,70.8264476095184,0.25450212961065805,0.18760260424582234,-0.40253257395601855,PE,1.5,False
retornos,2026-08-21,71.8058461,71.0427094,0.010741942508177837,0.0123773676310489,0.0,0.0123773676310489,71.92203113174958,71.92203113174958,0.056721589715854295,0.4304681409354003,-0.3525056790602719,PE,1.5,False
retornos,2026-08-24,70.9791366,71.8058461,-0.011513122467057602,-0.0088882805750203,0.0,-0.0088882805750203,71.16761559293647,71.16761559293647,-0.8054765283604757,0.40853506697625225,0.0327820437479336,PE,1.5,False
retornos,2026-08-25,71.7441786,70.9791366,0.010778406679012642,0.0147706802234549,0.0,0.0147706802234549,72.02754672925552,72.02754672925552,0.5227494317490766,-0.43505261280276947,-0.8406551248736429,PE,1.5,False
retornos,2026-08-26,71.9377875,71.7441786,0.0026986008311480347,-0.0006873610300848,0.0,-0.0006873610300848,71.69486444749491,71.69486444749491,0.2304028017120691,-0.39113185348084795,0.03051069144199942,PE,1.5,False
