fecha,vc_sbs,target_ret,ret_SPY,ret_QQQ,pattern_US,ret_EPU,ret_SPBLSCUP,pattern_PE,base_ret_niveles,base_ret_retornos
2026-01-07,64.7466603,-0.004238537720703817,-0.0032234001772446508,0.0009624917993369397,QQQ_UP_SPY_DOWN,-0.0168165940675713,0.0008491289580365713,EPU_DOWN_SPBLSCUP_UP,-0.1348783217702212,0.002237376986491595
2026-01-16,67.01718149999999,0.0004670445843297788,-0.0008378844014015341,-0.0008363400346551586,,-0.0045778204196268,0.0011173739229757285,EPU_DOWN_SPBLSCUP_UP,-0.12052222967045456,0.003633891156706204
2026-01-21,67.5490132,0.005098137564183869,0.011541083159159804,0.013518455039445598,,0.0030667862700413,-0.0011789899184331265,EPU_UP_SPBLSCUP_DOWN,-0.10769661686310383,0.00741681440295199
2026-01-22,68.3665282,0.012102545415126897,0.005223163010167564,0.007269390951806898,,0.0136405929001235,-0.010358450568510369,EPU_UP_SPBLSCUP_DOWN,-0.1122511533521161,0.0021880388039970116
2026-01-28,70.9825421,0.006892581145957921,-0.0001006589961060067,0.003311466423943088,QQQ_UP_SPY_DOWN,0.005021275858617,0.010892199263174751,,-0.10572545379629006,0.006623552757722263
2026-02-11,69.7711417,0.012074625863115918,-0.00023113498477123073,0.002682085346810581,QQQ_UP_SPY_DOWN,0.0069328272891233,0.015259710725006759,,-0.06685196387183678,0.016450370789898236
2026-02-17,67.9997361,-0.012581861437976016,0.0016134588719287635,-0.0010300291314303545,QQQ_DOWN_SPY_UP,-0.0203068483214363,-0.017266389031865614,,-0.0893367603547679,-0.009037361693147467
2026-03-02,72.0701188,-0.0009607755612303093,0.0005685427688300049,0.001317408251530594,,-0.0049019512193535,0.0004567600487210832,EPU_DOWN_SPBLSCUP_UP,-0.08188350466976069,-0.006964506337304244
2026-03-10,68.4964052,0.007788155684593123,-0.001607069196751576,1.6469931328311205e-05,QQQ_UP_SPY_DOWN,0.0345361615305526,0.032055462956252834,,-0.08357457999652229,0.007205801582462316
2026-04-10,68.6648503,0.007263603228770288,-0.0006617805145495703,0.001442181745508142,QQQ_UP_SPY_DOWN,-0.0027927098713744,-0.006605208135335383,,-0.06494618449845402,0.0030898955117829663
