fecha,vc_sbs,anchored_30,anchored_50,anchored_60,anchored_90,wf_30,wf_50,wf_60,wf_90,published_fixed_30
2026-07-07,32.7062959,32.80022463026345,32.83642065353865,32.81509420225879,32.78312014916558,32.762306273964306,32.712461507369355,32.758965919952885,32.84885198205872,32.80022463026344
2026-07-08,32.627339,32.51544146525926,32.69205361185885,32.66157547625038,32.674457086648175,32.62037968816237,32.627387359219185,32.649899005264224,32.699081210994784,32.51544146525925
2026-07-09,32.9828361,32.97746693329081,33.11289451932559,33.09825090697142,33.04919730954192,33.07388087031407,33.04545152335679,33.022849909199294,33.090305572759014,32.977466933290806
2026-07-10,33.1575753,33.28044025159632,33.339600292647376,33.3273289031491,33.25190453833393,33.26818571383675,33.2501502687299,33.20516819518211,33.28478568694494,33.28044025159632
2026-07-13,32.609853,32.558878602612005,32.61580748429962,32.652548142899676,32.566912199815164,32.628516787633814,32.59361383745661,32.510718016368266,32.61892297851198,32.558878602612005
2026-07-14,32.9889924,32.97203915393562,33.029378606517966,33.055113790992756,32.96025362693583,33.05738753326959,33.04221243652694,32.92322544639883,33.0012971036857,32.97203915393562
2026-07-15,32.8170077,32.86144855388842,32.92390778525188,32.93909025050558,32.87958745913246,32.89185276324834,32.93747811474581,32.83329636328483,32.91323143761506,32.86144855388842
2026-07-16,32.2856466,32.256200391829005,32.34818802417179,32.37496730234243,32.35311999130733,32.332261794864756,32.385545678479254,32.30051475611759,32.379575258340694,32.256200391829005
2026-07-17,32.083561800000005,32.08686195752851,32.131096064687895,32.1733797197456,32.142333120381245,32.15737472096601,32.2071241985541,32.10750159591569,32.15131627254236,32.08686195752851
2026-07-20,31.9591046,31.896730152366796,32.0306358992286,32.07115055115686,32.07234641195573,32.08677715262948,32.16726896627447,32.074771121991965,32.07179036649257,31.896730152366796
2026-07-21,32.6271468,32.73231229004921,32.791148955983445,32.805777883480566,32.77038126461058,32.7545449238589,32.82382204565472,32.7713729257943,32.763881914891066,32.73231229004921
2026-07-22,32.806352000000004,32.87858448511827,32.856404897107836,32.88084616145327,32.82378424992387,32.79724350053399,32.87894497227645,32.826671941267726,32.81450920970132,32.87858448511827
2026-07-23,32.6829917,32.68345951405446,32.64915024706535,32.67157867920509,32.65212796282221,32.627896337520475,32.77951073659982,32.73031770156423,32.64465420662638,32.683459514054455
2026-07-24,32.2351766,32.068079001255796,32.07159860200318,32.093406540678,32.11686437896204,32.016050246750595,32.10475072887634,32.09032042619683,32.09694169603168,32.0680790012558
2026-07-27,32.2146791,32.049528399849976,32.06885033721014,32.07759826621236,32.13810550019939,32.06990649537953,32.15822422905211,32.143927022681034,32.14188040918729,32.049528399849976
2026-07-28,31.6169856,31.745602466985826,31.72703383082941,31.751492003440617,31.818098965220948,31.743152075368286,31.806302564319886,31.79511592922862,31.82675960409132,31.745602466985822
2026-07-29,31.0976541,31.113840787367824,31.173872486108394,31.236739404600048,31.32997375603736,31.290904750968757,31.465089697042206,31.470597579992152,31.293033221053978,31.11384078736782
2026-07-30,31.994985,31.9965418182832,32.039863907020184,32.05528018609849,32.12714273101551,32.02771482578281,32.08342795687837,32.119671360361444,32.08941921216932,31.9965418182832
2026-07-31,31.9416869,31.987360666630842,32.06165431798469,32.048583238378384,32.15098059603189,32.0091205313861,31.9714710383358,32.0149830273141,32.10710354056412,31.98736066663084
2026-08-03,32.1022567,32.264598117534064,32.3030067511356,32.29136064880117,32.35099310848942,32.14108930386898,32.0866212883631,32.08841249853375,32.285390444200004,32.264598117534064
2026-08-04,32.8727097,33.04426925458173,33.053798045502965,33.02876026470241,33.02009288462803,32.75740153778037,32.715660459662764,32.68450361982315,32.9421578633051,33.044269254581735
2026-08-05,33.0031907,33.084012872569545,33.031468325584115,33.00364438082429,33.006142261956256,32.74611227248729,32.72829323863421,32.71100793005963,32.91969465037786,33.084012872569545
2026-08-06,32.9022622,32.90953582246034,32.85503593550773,32.84717266767554,32.83642060125016,32.66037289515005,32.63255209948796,32.616958990586625,32.74341138232343,32.90953582246034
2026-08-07,33.1720851,33.092038075729235,33.06124292702168,33.049945353690774,33.02884529261833,32.9046007366579,32.864863111332376,32.86579171752082,32.95681127591096,33.092038075729235
2026-08-10,33.0718532,32.92308679134355,32.90400548761451,32.904340798933376,32.88679599936385,32.805324044678294,32.77317308945054,32.79178744392789,32.82996057157895,32.92308679134355
2026-08-11,33.1479274,33.10752946123283,33.03308878861948,33.01700401071054,32.9938694701179,33.01554437888877,32.911244623788,32.87982291632478,32.957728193970404,33.10752946123284
2026-08-12,33.4429828,33.4161564966184,33.33066006091833,33.284485590208675,33.26487141818507,33.336061187278965,33.18146309459971,33.121228646064864,33.234122970209846,33.4161564966184
2026-08-13,33.4736543,33.55149959672631,33.460337977328365,33.40992130578578,33.35948632333331,33.50878406827566,33.33341813809757,33.22711703406024,33.330808945313564,33.55149959672631
2026-08-14,33.5502923,33.52530404784897,33.44226928121752,33.399418538601324,33.347334749422586,33.48243725581699,33.36472893530448,33.30247763293934,33.323373267725536,33.52530404784898
2026-08-17,33.8079254,33.603937941189926,33.55398374190504,33.49702205127714,33.472013274219904,33.557932674352536,33.499219506049904,33.46874497223899,33.45693001320787,33.603937941189926
2026-08-18,33.0720663,32.88621069779557,32.86614521847201,32.84565813021172,32.83149616026833,32.88621069779556,32.86614521847201,32.84565813021172,32.83149616026833,32.88621069779556
2026-08-19,33.1552855,33.144980045645,33.0829555512515,33.03086484422933,33.05294672617965,33.17111907816026,33.10859478584085,33.05334490805342,33.0711026249998,33.144980045645
2026-08-20,33.2617644,33.209575319859965,33.158745984110595,33.095758945511605,33.144599213803566,33.19753109099637,33.200137240543015,33.129158702394946,33.18156756869574,33.20957531985996
2026-08-21,33.4966423,33.76111891097888,33.593960893138615,33.531015130591705,33.54697208550839,33.78630069160103,33.6512539435466,33.60704412837086,33.59769617339399,33.76111891097888
2026-08-24,33.2771916,33.58571838433043,33.367674172959234,33.32057333182864,33.32502412395109,33.51065952133632,33.41131990283919,33.384835660880256,33.37503157096812,33.58571838433043
2026-08-25,33.6190684,34.016781034077496,33.76245442531798,33.6887674976148,33.6994635579465,33.81100968245167,33.767065622423445,33.744582772748345,33.754605623952,34.016781034077496
2026-08-26,33.7030493,33.94642951614661,33.70965549810796,33.637832669569036,33.6483238741726,33.697241689019876,33.67328596301991,33.67172110010529,33.68657975010138,33.94642951614661
2026-08-27,33.8280192,34.14104353097109,33.91208110769935,33.84011249094982,33.81793534856045,33.926982290327075,33.90257443900712,33.88219845327255,33.85385952796158,34.14104353097109
2026-08-28,33.563826,33.74046027028788,33.57366350899993,33.498961154695856,33.51550863117467,33.5733364595175,33.56664001974878,33.5363100986528,33.54641139817683,33.74046027028788
2026-08-31,33.584196,33.64937745248052,33.50898139763594,33.4412437526061,33.446427573963206,33.52287867307078,33.50189266186853,33.479340258966694,33.46800281433355,33.649377452480515
2026-09-01,33.2364965,33.45300502864253,33.31338643453617,33.234111326179054,33.2774248722772,33.32443298352017,33.31494260357277,33.29781777867467,33.30676808567901,33.45300502864253
2026-09-02,33.4213366,33.82984457158884,33.604921814318544,33.51819299084434,33.548044417792866,33.55105887058,33.59096650289588,33.57823968634063,33.584736590503155,33.82984457158884
