model,fecha,vc_prev_real,ret_real_pct,ret_est_pct,vc_real,vc_est,error_vc_pct
BASE5,2026-07-28,68.2402784,-2.3116331541812585,-1.648221621101071,66.6628135,67.11552737711163,0.6791100665315216
BASE5,2026-07-29,66.6628135,-2.0096795044511673,-1.8478212307526547,65.3231046,65.43100387912995,0.16517781846203416
BASE5,2026-07-30,65.3231046,4.5146139609537395,3.5037244667098824,68.2721906,67.61184619828468,-0.9672231049157529
BASE5,2026-07-31,68.2721906,-0.7376534948916769,0.22837058507211316,67.7685784,68.42810420111478,0.9732029455036968
BASE5,2026-08-03,67.7685784,0.5381216614099849,0.8738966893657222,68.1332558,68.36080576306782,0.3339778209568777
BASE5,2026-08-04,68.1332558,2.42303788453333,2.9933101060611977,69.7841504,70.17269543144994,0.5567812020678217
BASE5,2026-08-05,69.7841504,0.037423684103488064,-0.3442096330822503,69.8102662,69.54394663195859,-0.38149054936766674
BASE5,2026-08-06,69.8102662,-0.8717800878404347,-0.4382532173984691,69.2016742,69.50432046230407,0.437339509199426
BASE5,2026-08-07,69.2016742,0.69645005785135,0.8369381186382893,69.6836293,69.78084939011568,0.139516398747144
BASE5,2026-08-10,69.6836293,-0.6778517490334091,-0.5451646267203297,69.2112776,69.30373880244149,0.1335926826489967
BASE5,2026-08-11,69.2112776,0.41513379027697805,0.9727462122296298,69.498597,69.88452768128974,0.5553071543152674
BASE5,2026-08-12,69.498597,1.4896297834616545,1.535399544100624,70.5338688,70.56567814149433,0.04509796787772072
BASE5,2026-08-13,70.5338688,0.1858246289759835,1.0229880554264457,70.6649381,71.25542185285416,0.8356106560491772
BASE5,2026-08-14,70.6649381,0.2959889382539549,0.08150275921417585,70.8740985,70.72253197434848,-0.2138531972318741
BASE5,2026-08-17,70.8740985,0.9389881692816182,0.6042708832957026,71.5395979,71.30237004103383,-0.3316035677161374
BASE5,2026-08-18,71.5395979,-2.6653564682672215,-2.182273829104459,69.6328126,69.97840797758174,0.49631109914658955
BASE5,2026-08-19,69.6328126,0.997810334032101,0.3650446170056564,70.327616,69.88700343406593,-0.6265142926700009
BASE5,2026-08-20,70.327616,1.016803128944388,0.4912477663875166,71.0427094,70.67309884275359,-0.5202652888213434
BASE5,2026-08-21,71.0427094,1.0741942508177837,1.0220963334848523,71.8058461,71.7688343279857,-0.05154423215451219
BASE5,2026-08-24,71.8058461,-1.1513122467057602,-0.6645249893881884,70.9791366,71.32867830882387,0.4924569747779433
BASE5,2026-08-25,70.9791366,1.0778406679012642,1.3383671880652575,71.7441786,71.92909807462642,0.2577484030549985
BASE5,2026-08-26,71.7441786,0.2698600831148035,0.11615658042612712,71.9377875,71.82751418451656,-0.15328983461360923
BASE5_GLD,2026-07-28,68.2402784,-2.3116331541812585,-1.7463394376965695,66.6628135,67.04857150590686,0.5786704545658956
BASE5_GLD,2026-07-29,66.6628135,-2.0096795044511673,-1.409427788248622,65.3231046,65.72324928210264,0.6125622542787856
BASE5_GLD,2026-07-30,65.3231046,4.5146139609537395,3.220763732476057,68.2721906,67.4270074618842,-1.2379610653884603
BASE5_GLD,2026-07-31,68.2721906,-0.7376534948916769,-0.13938957134369373,67.7685784,68.17702628617572,0.6027098337003362
BASE5_GLD,2026-08-03,67.7685784,0.5381216614099849,0.6666071920334782,68.1332558,68.22032861755325,0.12779782285591162
BASE5_GLD,2026-08-04,68.1332558,2.42303788453333,2.690065983391912,69.7841504,69.9660853376532,0.26071097320860415
BASE5_GLD,2026-08-05,69.7841504,0.037423684103488064,0.15074469181163708,69.8102662,69.88934630245386,0.11327861467724656
