,,,,
Valor Cuota Diario del Fondo de Pensiones Tipo 0 por AFP 1/,,,,
2026-05-31 00:00:00,,,,
(En soles),,,,
,,,,
Día,Habitat 2/,Integra,Prima,Profuturo
2026-05-01 00:00:00,16.0108855,15.4739599,15.6407971,15.643794
2026-05-04 00:00:00,16.01865,15.4794553,15.646394,15.6474493
2026-05-05 00:00:00,16.0307298,15.481273000000002,15.6482803,15.653483900000001
2026-05-06 00:00:00,16.0332517,15.483262700000001,15.65041,15.6577819
2026-05-07 00:00:00,16.0358718,15.484862900000001,15.6519435,15.659174499999999
2026-05-08 00:00:00,16.0375057,15.486787199999998,15.6539049,15.6596789
2026-05-11 00:00:00,16.0442238,15.492232300000001,15.6595769,15.6670667
2026-05-12 00:00:00,16.0471961,15.4941697,15.6615545,15.668668199999999
2026-05-13 00:00:00,16.0501545,15.4958929,15.6632711,15.668528100000001
2026-05-14 00:00:00,16.0521549,15.4976685,15.6650603,15.6697676
2026-05-15 00:00:00,16.0401255,15.4995862,15.667040000000002,15.667245000000001
2026-05-18 00:00:00,16.0461947,15.5052719,15.6729936,15.6744346
2026-05-19 00:00:00,16.048158100000002,15.5070941,15.674716499999999,15.6774896
2026-05-20 00:00:00,16.0505582,15.509020900000001,15.676754599999999,15.682034699999999
2026-05-21 00:00:00,16.0535952,15.5105958,15.6782897,15.6831477
2026-05-22 00:00:00,16.0556181,15.5125759,15.6803469,15.688390199999999
2026-05-25 00:00:00,16.0612787,15.518197299999999,15.6861906,15.698509000000001
2026-05-26 00:00:00,16.0631625,15.5198421,15.687922499999999,15.7005437
2026-05-27 00:00:00,16.0648157,15.5214012,15.689560899999998,15.703168
2026-05-28 00:00:00,16.0680244,15.5233653,15.6915703,15.7078884
2026-05-29 00:00:00,16.0702028,15.525350000000001,15.6935105,15.712912000000001
,,,,
1/ El Valor Cuota se calcula sobre la base de lo establecido en el Artículo 65° del Título VI del Compendio de Normas del SPP.,,,,
2/ El Fondo Tipo 0 de AFP Habitat corresponde a un fondo en etapa de formación por lo que la rentabilidad puede mostrar variaciones significativas (Artículo 74-A del Título VI del Compendio de Normas del SPP).,,,,
,,,,
