,,,,
Valor Cuota Diario del Fondo de Pensiones Tipo 3 por AFP 1/,,,,
2026-05-31 00:00:00,,,,
(En soles),,,,
,,,,
Día,Habitat,Integra,Prima,Profuturo
2026-05-01 00:00:00,30.7377664,67.7340832,60.3228076,68.0293085
2026-05-04 00:00:00,30.612650199999997,67.3823635,59.988286099999996,67.6056176
2026-05-05 00:00:00,30.9299424,67.9664176,60.715026900000005,67.9996896
2026-05-06 00:00:00,31.6791471,69.6755291,62.426252000000005,69.8290569
2026-05-07 00:00:00,31.431747,69.2987598,61.919815799999995,69.5037787
2026-05-08 00:00:00,31.9145516,70.38991519999999,63.1784936,70.3897559
2026-05-11 00:00:00,32.2546052,71.39366030000001,64.0589137,71.3705229
2026-05-12 00:00:00,32.0105717,70.85283749999999,63.514735300000005,70.812851
2026-05-13 00:00:00,32.2090019,71.24722609999999,64.0179069,71.0845734
2026-05-14 00:00:00,32.2617824,71.05994340000001,63.9355638,70.8470989
2026-05-15 00:00:00,31.4135285,69.0361012,62.149379499999995,68.478899
2026-05-18 00:00:00,31.1928859,68.5172551,61.7973582,67.9831173
2026-05-19 00:00:00,30.953379100000003,67.7795082,61.18157419999999,67.128032
2026-05-20 00:00:00,31.3896738,68.8288888,62.347121699999995,68.4622573
2026-05-21 00:00:00,31.618538100000002,69.1895003,62.7618713,68.9077609
2026-05-22 00:00:00,31.7575942,69.2648985,62.817118,68.6568631
2026-05-25 00:00:00,31.790910699999998,69.3162084,62.8408409,68.6882542
2026-05-26 00:00:00,32.6290876,71.1640939,64.6373894,70.8321633
2026-05-27 00:00:00,32.455315,70.5905163,64.12391980000001,70.1458301
2026-05-28 00:00:00,32.5996811,71.003448,64.6024655,70.6707533
2026-05-29 00:00:00,32.7664958,71.7042692,64.9727585,71.15447420000001
,,,,
1/ El Valor Cuota se calcula sobre la base de lo establecido en el Artículo 65° del Título VI del Compendio de Normas del SPP.,,,,
,,,,
