,,,,
Valor Cuota Diario del Fondo de Pensiones Tipo 2 por AFP 1/,,,,
2026-05-31 00:00:00,,,,
(En soles),,,,
,,,,
Día,Habitat,Integra,Prima,Profuturo
2026-05-01 00:00:00,27.619919,295.446165,55.073721299999995,268.0822061
2026-05-04 00:00:00,27.5402819,294.4441779,54.8983937,267.0695624
2026-05-05 00:00:00,27.679350399999997,295.7578459,55.241417899999995,267.7663546
2026-05-06 00:00:00,28.0323751,299.3029603,56.081797699999996,271.5195984
2026-05-07 00:00:00,27.9101551,298.5785972,55.8434642,271.02707350000003
2026-05-08 00:00:00,28.1238726,300.8162187,56.4486665,272.5365906
2026-05-11 00:00:00,28.301769,303.0916388,56.8489401,274.5293542
2026-05-12 00:00:00,28.1741052,301.8054626,56.5945831,273.2626327
2026-05-13 00:00:00,28.244315099999998,302.4624997,56.7762258,273.6040439
2026-05-14 00:00:00,28.2805992,302.18805580000003,56.7813321,273.0344308
2026-05-15 00:00:00,27.814506299999998,297.3319557,55.8255768,267.5414461
2026-05-18 00:00:00,27.6730716,295.59809440000004,55.5557638,266.1214314
2026-05-19 00:00:00,27.594895299999997,293.8692552,55.2590956,264.1273446
2026-05-20 00:00:00,27.8468166,295.5874584,55.917466299999994,266.2567515
2026-05-21 00:00:00,27.9727708,296.54938139999996,56.1633569,267.17419559999996
2026-05-22 00:00:00,28.0587524,296.932698,56.19808270000001,266.84373070000004
2026-05-25 00:00:00,28.0987653,297.1500965,56.17208719999999,267.1089912
2026-05-26 00:00:00,28.580900200000002,302.00732270000003,57.173026099999994,272.1160554
2026-05-27 00:00:00,28.5078775,300.7982424,56.9389697,270.7685914
2026-05-28 00:00:00,28.5629579,301.8326378,57.150928,271.9287018
2026-05-29 00:00:00,28.685951799999998,303.9796951,57.42532489999999,273.4652895
,,,,
1/ El Valor Cuota se calcula sobre la base de lo establecido en el Artículo 65° del Título VI del Compendio de Normas del SPP.,,,,
,,,,
