signal_key,generado_utc,version_congelada,config_hash_sha256,model_id,afp,frecuencia,fecha_decision,fecha_objetivo,fecha_objetivo_inferida,modelo_codigo,variante,estado_validacion,habilitado_senal,en_episodio_rebote,probabilidad_riesgo,umbral_dinamico,cobertura_objetivo,supera_umbral,alerta_habilitada,estado_diario,n_historial_disponible,ultima_cuota_sbs_conocida,dias_desde_shock,rebote_desde_minimo_factor,fraccion_recuperada_factor,velocidad_rebote_factor,retroceso_desde_maximo_factor
v4-20260716-prima-base-logc1bal-c10|2026-06-30|2026-07-01,2026-07-16T02:19:53+00:00,modelo_salida_v4_congelado_2026-07-16,ee6a77da6e0eb19f056e6912fd850fa6a0491635193e2ddbfcf538c9d36cc8c2,v4-20260716-prima-base-logc1bal-c10,Prima,diaria,2026-06-30,2026-07-01,False,logistica_C1.0_bal,base_sin_rebote,SOMBRA_NO_APROBADO,False,True,0.17966372628419103,0.5882462427025581,0.1,False,False,SOMBRA_SIN_SENAL,1619,64.8337666,4.0,0.014870787559857268,1.4495908896026106,0.007435393779928634,0.0
v4-20260716-integra-sin-nivel-gbd2n100-c05|2026-07-01|2026-07-02,2026-07-16T02:19:53+00:00,modelo_salida_v4_congelado_2026-07-16,ee6a77da6e0eb19f056e6912fd850fa6a0491635193e2ddbfcf538c9d36cc8c2,v4-20260716-integra-sin-nivel-gbd2n100-c05,Integra,diaria,2026-07-01,2026-07-02,False,gb_d2_n100,completo_sin_nivel_fraccion_recuperada,SOMBRA_MUESTRA_INSUFICIENTE,False,True,0.14202752994477577,0.20041729807105593,0.05,False,False,SOMBRA_SIN_SENAL,1417,72.3284597,5.0,0.05151518237310504,1.28687931385267,0.01287879559327626,0.0
v4-20260716-profuturo-base-logc005bal-c15|2026-07-01|2026-07-02,2026-07-16T02:19:53+00:00,modelo_salida_v4_congelado_2026-07-16,ee6a77da6e0eb19f056e6912fd850fa6a0491635193e2ddbfcf538c9d36cc8c2,v4-20260716-profuturo-base-logc005bal-c15,Profuturo,diaria,2026-07-01,2026-07-02,False,logistica_C0.05_bal,base_sin_rebote,SOMBRA_INESTABLE_RECIENTE,False,True,0.43653858207671054,0.5624709011611878,0.15,False,False,SOMBRA_SIN_SENAL,1559,71.9348302,2.0,0.024748612632282674,3.663189889945347,0.012374306316141337,0.0
v4-20260716-habitat-completo-gbd2n100-c15|2026-07-02|2026-07-03,2026-07-16T02:19:52+00:00,modelo_salida_v4_congelado_2026-07-16,ee6a77da6e0eb19f056e6912fd850fa6a0491635193e2ddbfcf538c9d36cc8c2,v4-20260716-habitat-completo-gbd2n100-c15,Habitat,diaria,2026-07-02,2026-07-03,False,gb_d2_n100,completo,APROBADO_PARA_SEGUIMIENTO_PROSPECTIVO,True,True,0.3603217950889896,0.16974937671624074,0.15,True,True,RIESGO_ALTO,1535,33.1019868,4.0,0.028216737909366296,2.577371913521258,0.0094055793031221,0.0
