fecha,fase,SPY,EEM,MCHI,QQQ,SPBLSCUP,source,vc_sbs,vc_niveles,ret_vc_estimado,vc_retornos,error_niveles_pct,error_retornos_pct
2026-01-05,RETROSPECTIVO,687.719970703125,56.86000061035156,62.66999816894531,617.989990234375,357.86,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,64.0968477,55.50360913054172,,,-13.406647717963017,
2026-01-06,RETROSPECTIVO,691.8099975585938,57.279998779296875,62.709999084472656,623.4199829101562,365.08,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,65.0222596,56.23503374897709,0.011700603825688664,64.8468195214132,-13.514180997522441,-0.2698154134692765
2026-01-07,RETROSPECTIVO,689.5800170898438,56.849998474121094,61.880001068115234,624.02001953125,365.39,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,64.7466603,56.252166347444344,0.002237376986491595,65.16773890723873,-13.11958626622114,0.6503479952289171
2026-01-08,RETROSPECTIVO,689.510009765625,56.869998931884766,62.279998779296875,620.469970703125,371.35,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,64.81597359999999,56.417447377942096,0.0006425855066173546,64.78826556551067,-12.957494511905153,-0.0427487746466948
2026-01-09,RETROSPECTIVO,694.0700073242188,57.13999938964844,62.220001220703125,626.6500244140625,380.92,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,65.4085085,57.2018792268793,0.012210916701496578,65.60743605455599,-12.54673048097511,0.30413100545778615
2026-01-12,RETROSPECTIVO,695.1599731445312,57.939998626708984,64.26000213623047,627.1699829101562,393.24,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,66.2644858,57.843726794882734,0.00797414006129304,65.93008510797927,-12.707801024115495,-0.504645419010763
2026-01-13,RETROSPECTIVO,693.77001953125,57.5099983215332,63.52000045776367,626.239990234375,394.11,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,66.4142661,57.81763167355152,0.00033676586121601966,66.28680141662848,-12.94395757306801,-0.19192364962612452
2026-01-14,RETROSPECTIVO,690.3599853515625,57.75,63.54999923706055,619.5499877929688,398.77,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,66.6723727,58.22417215634205,0.003713826494915243,66.66091716108254,-12.671216279749931,-0.01718183777410509
2026-01-15,RETROSPECTIVO,692.239990234375,58.09000015258789,63.59000015258789,621.780029296875,402.73,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,66.9858961,58.70040486168791,0.007205359073741357,67.1527710856018,-12.369008583453278,0.2491195838489224
2026-01-16,RETROSPECTIVO,691.6599731445312,57.869998931884766,62.52000045776367,621.260009765625,403.18,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,67.01718149999999,58.912606545554596,0.003633891156706204,67.22931555546184,-12.093279324862982,0.3165368204299135
2026-01-20,RETROSPECTIVO,677.5800170898438,57.310001373291016,61.650001525878906,608.0599975585938,415.61,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,67.20638579999999,59.565942599811116,0.007092919671118974,67.4925289849643,-11.368626819073613,0.42576785160839403
2026-01-21,RETROSPECTIVO,685.4000244140625,58.2599983215332,62.4900016784668,616.280029296875,415.12,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,67.5490132,59.96848541774345,0.00741681440295199,67.70484309017178,-11.222262803176752,0.2306915864342729
2026-01-22,RETROSPECTIVO,688.97998046875,58.70000076293945,62.779998779296875,620.760009765625,410.82,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,68.3665282,59.96655856050269,0.0021880388039970116,67.69681306205331,-12.286669896303604,-0.9795950673222809
2026-01-23,RETROSPECTIVO,689.22998046875,59.06999969482422,62.7400016784668,622.719970703125,419.83,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,69.1839112,60.81487159096189,0.012014170198339075,69.18789530566436,-12.096800345450987,0.005758717012738224
2026-01-26,RETROSPECTIVO,692.72998046875,59.16999816894531,62.65999984741211,625.4600219726562,432.28,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,69.7924912,61.60254784693136,0.00951167847233585,69.84196631879304,-11.734705571118287,0.07088888495363488
2026-01-27,RETROSPECTIVO,695.489990234375,60.34000015258789,63.290000915527344,631.1300048828125,437.01,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,70.4966383,62.616800301989365,0.015433158570433989,70.86960978371522,-11.177608164062825,0.5290627932186265
2026-01-28,RETROSPECTIVO,695.4199829101562,60.75,63.90999984741211,633.219970703125,441.77,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,70.9825421,63.043349224619575,0.006623552757722263,70.96357650302211,-11.184711959450134,-0.026718678166204324
2026-01-29,RETROSPECTIVO,694.0399780273438,60.439998626708984,64.2300033569336,629.4299926757812,448.02,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,70.4476009,63.01904018752718,-0.0021197743436878725,70.83207512840669,-10.544802970675493,0.5457591507657567
2026-01-30,RETROSPECTIVO,691.969970703125,59.099998474121094,62.400001525878906,621.8699951171875,418.57,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,67.2804365,60.801844873284665,-0.026468829853980136,68.5829353381568,-9.629235426728133,1.9359250711115772
2026-02-02,RETROSPECTIVO,695.4099731445312,59.279998779296875,61.61000061035156,626.1400146484375,421.01,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09,67.3680682,61.34060099380953,0.008687517494530922,67.86493646913341,-8.9470684958582,0.7375426999900458
