fecha,vc,fuente,senal,ret_estimado
2025-06-26,53.2956318,SBS OFICIAL,,
2025-06-27,53.2801517,SBS OFICIAL,,
2025-06-30,53.4427166,SBS OFICIAL,,
2025-07-01,53.7332206,SBS OFICIAL,,
2025-07-02,53.8792662,SBS OFICIAL,,
2025-07-03,54.0750871,SBS OFICIAL,,
2025-07-04,54.071185400000005,SBS OFICIAL,,
2025-07-07,54.0602213,SBS OFICIAL,,
2025-07-08,53.8333591,SBS OFICIAL,,
2025-07-09,53.978197300000005,SBS OFICIAL,,
2025-07-10,54.0625391,SBS OFICIAL,,
2025-07-11,54.1454699,SBS OFICIAL,,
2025-07-14,54.224096,SBS OFICIAL,,
2025-07-15,53.8300235,SBS OFICIAL,,
2025-07-16,53.6236608,SBS OFICIAL,,
2025-07-17,53.9699439,SBS OFICIAL,,
2025-07-18,54.00340489999999,SBS OFICIAL,,
2025-07-21,54.3116357,SBS OFICIAL,,
2025-07-22,54.3983759,SBS OFICIAL,,
2025-07-23,54.8912441,SBS OFICIAL,,
2025-07-24,54.80718400000001,SBS OFICIAL,,
2025-07-25,54.6432413,SBS OFICIAL,,
2025-07-28,54.4858928,SBS OFICIAL,,
2025-07-29,54.5478826,SBS OFICIAL,,
2025-07-30,54.3809381,SBS OFICIAL,,
2025-07-31,54.485629200000005,SBS OFICIAL,,
2025-08-01,54.0080553,SBS OFICIAL,,
2025-08-04,54.5378394,SBS OFICIAL,,
2025-08-05,54.4604086,SBS OFICIAL,,
2025-08-06,54.82228310000001,SBS OFICIAL,,
2025-08-07,54.9340089,SBS OFICIAL,,
2025-08-08,55.0580649,SBS OFICIAL,,
2025-08-11,54.9912445,SBS OFICIAL,,
2025-08-12,55.3052297,SBS OFICIAL,,
2025-08-13,55.6961066,SBS OFICIAL,,
2025-08-14,55.8091817,SBS OFICIAL,,
2025-08-15,55.7733316,SBS OFICIAL,,
2025-08-18,55.58924700000001,SBS OFICIAL,,
2025-08-19,55.0625048,SBS OFICIAL,,
2025-08-20,54.8197735,SBS OFICIAL,,
2025-08-21,54.975807,SBS OFICIAL,,
2025-08-22,55.4579795,SBS OFICIAL,,
2025-08-25,55.41713730000001,SBS OFICIAL,,
2025-08-26,55.7440424,SBS OFICIAL,,
2025-08-27,55.5999622,SBS OFICIAL,,
2025-08-28,55.7230487,SBS OFICIAL,,
2025-08-29,55.6670379,SBS OFICIAL,,
2025-09-01,55.8580235,SBS OFICIAL,,
2025-09-02,55.812169,SBS OFICIAL,,
2025-09-03,56.221644000000005,SBS OFICIAL,,
2025-09-04,56.1129067,SBS OFICIAL,,
2025-09-05,56.4166856,SBS OFICIAL,,
2025-09-08,56.7154989,SBS OFICIAL,,
2025-09-09,56.5469992,SBS OFICIAL,,
2025-09-10,56.6225009,SBS OFICIAL,,
2025-09-11,57.0627465,SBS OFICIAL,,
2025-09-12,57.1254973,SBS OFICIAL,,
2025-09-15,57.4642543,SBS OFICIAL,,
2025-09-16,57.29098200000001,SBS OFICIAL,,
2025-09-17,57.218021500000006,SBS OFICIAL,,
2025-09-18,57.1569816,SBS OFICIAL,,
2025-09-19,57.575859300000005,SBS OFICIAL,,
2025-09-22,58.1074488,SBS OFICIAL,,
2025-09-23,58.0579942,SBS OFICIAL,,
2025-09-24,58.1193792,SBS OFICIAL,,
2025-09-25,57.9709657,SBS OFICIAL,,
2025-09-26,58.0712219,SBS OFICIAL,,
2025-09-29,58.5942621,SBS OFICIAL,,
2025-09-30,58.5841769,SBS OFICIAL,,
2025-10-01,58.8807922,SBS OFICIAL,,
2025-10-02,58.9470593,SBS OFICIAL,,
2025-10-03,59.0512404,SBS OFICIAL,,
2025-10-06,59.3145425,SBS OFICIAL,,
2025-10-07,59.1251882,SBS OFICIAL,,
2025-10-08,59.9689083,SBS OFICIAL,,
2025-10-09,59.3653493,SBS OFICIAL,,
2025-10-10,58.3257045,SBS OFICIAL,,
2025-10-13,59.37405149999999,SBS OFICIAL,,
2025-10-14,59.268596900000006,SBS OFICIAL,,
2025-10-15,59.6684515,SBS OFICIAL,,
2025-10-16,59.6306428,SBS OFICIAL,,
2025-10-17,58.8427276,SBS OFICIAL,,
2025-10-20,59.348136100000005,SBS OFICIAL,,
2025-10-21,58.14982800000001,SBS OFICIAL,,
2025-10-22,57.8492938,SBS OFICIAL,,
2025-10-23,58.1788728,SBS OFICIAL,,
2025-10-24,58.38228300000001,SBS OFICIAL,,
2025-10-27,58.506013,SBS OFICIAL,,
2025-10-28,58.8371255,SBS OFICIAL,,
2025-10-29,59.12507539999999,SBS OFICIAL,,
2025-10-30,58.7089664,SBS OFICIAL,,
2025-10-31,58.5799875,SBS OFICIAL,,
2025-11-03,58.4907244,SBS OFICIAL,,
2025-11-04,57.5275104,SBS OFICIAL,,
2025-11-05,57.9572586,SBS OFICIAL,,
2025-11-06,57.7403067,SBS OFICIAL,,
2025-11-07,57.7805929,SBS OFICIAL,,
2025-11-10,58.7279644,SBS OFICIAL,,
2025-11-11,58.580538,SBS OFICIAL,,
2025-11-12,58.9683654,SBS OFICIAL,,
2025-11-13,58.2175818,SBS OFICIAL,,
2025-11-14,58.014718300000006,SBS OFICIAL,,
2025-11-17,57.4037407,SBS OFICIAL,,
2025-11-18,56.9884,SBS OFICIAL,,
2025-11-19,57.4324455,SBS OFICIAL,,
2025-11-20,56.5112197,SBS OFICIAL,,
2025-11-21,56.42156850000001,SBS OFICIAL,,
2025-11-24,57.4079629,SBS OFICIAL,,
2025-11-25,57.500415,SBS OFICIAL,,
2025-11-26,58.4856981,SBS OFICIAL,,
2025-11-27,58.5316483,SBS OFICIAL,,
2025-11-28,59.0869103,SBS OFICIAL,,
2025-12-01,59.2000335,SBS OFICIAL,,
2025-12-02,59.3924849,SBS OFICIAL,,
2025-12-03,59.8790644,SBS OFICIAL,,
2025-12-04,60.1807608,SBS OFICIAL,,
2025-12-05,60.1649474,SBS OFICIAL,,
2025-12-08,60.0360654,SBS OFICIAL,,
2025-12-09,60.4283108,SBS OFICIAL,,
2025-12-10,60.754319,SBS OFICIAL,,
2025-12-11,61.17211280000001,SBS OFICIAL,,
2025-12-12,60.8453542,SBS OFICIAL,,
2025-12-15,60.8267696,SBS OFICIAL,,
2025-12-16,60.7885564,SBS OFICIAL,,
2025-12-17,60.4276991,SBS OFICIAL,,
2025-12-18,60.9398429,SBS OFICIAL,,
2025-12-19,61.565853800000006,SBS OFICIAL,,
2025-12-22,62.098931,SBS OFICIAL,,
2025-12-23,62.446431700000005,SBS OFICIAL,,
2025-12-24,62.563664,SBS OFICIAL,,
2025-12-26,62.9144279,SBS OFICIAL,,
2025-12-29,62.5798657,SBS OFICIAL,,
2025-12-30,62.9312751,SBS OFICIAL,,
2025-12-31,62.581457,SBS OFICIAL,,
2026-01-02,63.0624452,SBS OFICIAL,,
2026-01-05,64.0968477,SBS OFICIAL,,
2026-01-06,65.0222596,SBS OFICIAL,,
2026-01-07,64.7466603,SBS OFICIAL,,
2026-01-08,64.81597359999999,SBS OFICIAL,,
2026-01-09,65.4085085,SBS OFICIAL,,
2026-01-12,66.2644858,SBS OFICIAL,,
2026-01-13,66.4142661,SBS OFICIAL,,
2026-01-14,66.6723727,SBS OFICIAL,,
2026-01-15,66.9858961,SBS OFICIAL,,
2026-01-16,67.01718149999999,SBS OFICIAL,,
2026-01-19,66.883625,SBS OFICIAL,,
2026-01-20,67.20638579999999,SBS OFICIAL,,
2026-01-21,67.5490132,SBS OFICIAL,,
2026-01-22,68.3665282,SBS OFICIAL,,
2026-01-23,69.1839112,SBS OFICIAL,,
2026-01-26,69.7924912,SBS OFICIAL,,
2026-01-27,70.4966383,SBS OFICIAL,,
2026-01-28,70.9825421,SBS OFICIAL,,
2026-01-29,70.4476009,SBS OFICIAL,,
2026-01-30,67.2804365,SBS OFICIAL,,
2026-02-02,67.3680682,SBS OFICIAL,,
2026-02-03,69.0049085,SBS OFICIAL,,
2026-02-04,67.75380750000001,SBS OFICIAL,,
2026-02-05,66.4806454,SBS OFICIAL,,
2026-02-06,68.1494962,SBS OFICIAL,,
2026-02-09,69.5301336,SBS OFICIAL,,
2026-02-10,68.9387323,SBS OFICIAL,,
2026-02-11,69.7711417,SBS OFICIAL,,
2026-02-12,68.28001669999999,SBS OFICIAL,,
2026-02-13,68.8662011,SBS OFICIAL,,
2026-02-16,68.86618440000001,SBS OFICIAL,,
2026-02-17,67.9997361,SBS OFICIAL,,
2026-02-18,68.88723490000001,SBS OFICIAL,,
2026-02-19,69.1669852,SBS OFICIAL,,
2026-02-20,69.9947923,SBS OFICIAL,,
2026-02-23,70.5307253,SBS OFICIAL,,
2026-02-24,71.4637068,SBS OFICIAL,,
2026-02-25,72.0136832,SBS OFICIAL,,
2026-02-26,71.9823344,SBS OFICIAL,,
2026-02-27,72.1394286,SBS OFICIAL,,
2026-03-02,72.0701188,SBS OFICIAL,,
2026-03-03,69.2514343,SBS OFICIAL,,
2026-03-04,69.74213900000001,SBS OFICIAL,,
2026-03-05,67.8341914,SBS OFICIAL,,
2026-03-06,67.3626335,SBS OFICIAL,,
2026-03-09,67.96706710000001,SBS OFICIAL,,
2026-03-10,68.4964052,SBS OFICIAL,,
2026-03-11,67.9244297,SBS OFICIAL,,
2026-03-12,66.5923372,SBS OFICIAL,,
2026-03-13,65.5049918,SBS OFICIAL,,
2026-03-16,66.1903339,SBS OFICIAL,,
2026-03-17,66.2901412,SBS OFICIAL,,
2026-03-18,64.8530784,SBS OFICIAL,,
2026-03-19,63.7072561,SBS OFICIAL,,
2026-03-20,62.2845025,SBS OFICIAL,,
2026-03-23,63.7514175,SBS OFICIAL,,
2026-03-24,63.8695262,SBS OFICIAL,,
2026-03-25,64.86870640000001,SBS OFICIAL,,
2026-03-26,63.382884700000005,SBS OFICIAL,,
2026-03-27,63.6131059,SBS OFICIAL,,
2026-03-30,63.1341003,SBS OFICIAL,,
2026-03-31,65.1797399,SBS OFICIAL,,
2026-04-01,66.4258527,SBS OFICIAL,,
2026-04-02,65.9194978,SBS OFICIAL,,
2026-04-03,65.9178842,SBS OFICIAL,,
2026-04-06,65.90005049999999,SBS OFICIAL,,
