afp,comparacion,delta_walk_auc,delta_walk_brier,delta_walk_precision_alerta_pct,delta_walk_mejora_precision_pp,delta_walk_cobertura_caidas_pct,delta_walk_falsas_alarmas_pct,delta_walk_proteccion_neta_suma_pct,delta_segunda_auc,delta_segunda_mejora_precision_pp,delta_segunda_proteccion_neta_suma_pct
Habitat,completo_menos_base_sin_rebote,0.015470482469283842,-0.002529884640892821,-0.606060606060602,-0.6060606060606037,12.76595744680851,5.985915492957745,0.9020492785523979,-0.010212765957446801,-38.26086956521739,-3.425100785627682
Habitat,completo_menos_completo_sin_distancia_temporal,-0.0041204674857656665,0.00024337381039533923,0.0,0.0,0.0,0.0,0.05490444896552038,-0.004539007092198677,-0.9881422924901182,0.08548723004905967
Habitat,completo_menos_completo_sin_nivel_fraccion_recuperada,0.0353985615822594,-0.0020131666708673446,6.278317152103561,6.278317152103561,-19.148936170212764,-17.253521126760567,4.2603434197013295,0.01248226950354614,4.092071611253195,2.7763688140794107
Habitat,completo_menos_completo_sin_velocidad_rebote,-0.000861552292478196,0.0007570425200814773,4.871794871794872,4.871794871794871,-10.63829787234043,-9.859154929577466,3.7442412605735775,-0.0009929078014183634,2.989130434782608,1.2588774365915392
Habitat,completo_menos_completo_sin_retroceso_desde_maximo,0.04131705124363194,-0.003267178840555565,7.701149425287358,7.701149425287357,2.1276595744680833,-4.929577464788734,6.137346685974215,0.019290780141843933,7.453416149068323,3.2215895729625896
Integra,completo_menos_base_sin_rebote,-0.0029799914857385756,0.07456246545078121,7.905138339920946,7.905138339920947,7.407407407407407,3.0651340996168583,3.5073726604750366,0.013368983957219194,-11.666666666666668,-1.2101996544162104
Integra,completo_menos_completo_sin_distancia_temporal,-0.0134809138640557,0.00019966776125526775,-2.4844720496894404,-2.4844720496894404,3.703703703703704,2.681992337164751,1.5845636270003272,-0.0076871657754010725,8.333333333333332,0.47316472664356946
Integra,completo_menos_completo_sin_nivel_fraccion_recuperada,-0.06694338016177104,0.07945721238514569,-5.163043478260871,-5.163043478260871,1.8518518518518512,2.2988505747126435,0.600797598883916,-0.053475935828877,-31.66666666666667,-3.6531882188933
Integra,completo_menos_completo_sin_velocidad_rebote,0.014119483468142402,-0.0018641923679351413,7.719609582963617,7.719609582963619,-5.555555555555554,-8.812260536398467,-0.20282635895548107,0.044786096256684504,-7.051282051282053,-2.9622216277579927
Integra,completo_menos_completo_sin_retroceso_desde_maximo,-0.023627075351213334,0.0011178088493253024,-7.2463768115941996,-7.246376811594203,3.703703703703704,3.4482758620689657,1.0718828001483365,-0.00200534759358284,8.333333333333332,0.48556470544762975
Prima,completo_menos_base_sin_rebote,-0.01277327437975917,-0.07010536024686179,-11.440677966101696,-11.440677966101696,0.0,9.782608695652172,-9.291151324376965,0.01446759259259267,-4.761904761904762,-3.268770241316309
Prima,completo_menos_completo_sin_distancia_temporal,-0.002026529108327124,1.2853228553155738e-06,-3.9845376152245002,-3.984537615224501,-3.3898305084745743,1.4492753623188364,-3.606868187335693,-0.008391203703703609,0.0,0.0
Prima,completo_menos_completo_sin_nivel_fraccion_recuperada,-0.001658069270449536,-0.07838312956898424,-3.363754889178619,-3.3637548891786193,-5.084745762711865,-1.0869565217391326,-0.4947498051138268,0.032118055555555636,0.0,2.1910047611257895
Prima,completo_menos_completo_sin_velocidad_rebote,-0.010869565217391242,-0.09279212720389618,-2.313693839117567,-2.313693839117567,-3.3898305084745743,-0.7246376811594217,1.4054485993132282,0.0092592592592593,-3.5196687370600417,2.8352383684087226
Prima,completo_menos_completo_sin_retroceso_desde_maximo,-0.016703512650454333,-0.08721177223227966,-4.8080249048772075,-4.808024904877207,-1.694915254237289,3.985507246376809,-0.08350146644418466,-0.01880787037037035,-4.112554112554112,2.6400629935865627
Profuturo,completo_menos_base_sin_rebote,-0.025518240816583715,0.0016881666565780884,-3.510716925351069,-3.510716925351071,8.47457627118644,7.4349442379182165,-1.2044827438617496,-0.039777983348751156,-2.832244008714599,-2.03863375075979
Profuturo,completo_menos_completo_sin_distancia_temporal,0.0035914561149266166,0.07812749677525171,1.1961722488038298,1.196172248803828,5.084745762711865,2.2304832713754674,1.244692680947948,-0.0006167129201356536,1.771336553945249,0.08848264183402943
Profuturo,completo_menos_completo_sin_nivel_fraccion_recuperada,0.05560456177934592,0.0757305311786404,5.757575757575758,5.757575757575756,8.47457627118644,0.37174721189591153,15.231333690912756,-0.012334258402713516,0.5291005291005291,11.096308391594938
Profuturo,completo_menos_completo_sin_velocidad_rebote,0.06861571419570278,0.07460486881771886,7.152924594785059,7.152924594785059,15.254237288135595,5.204460966542753,11.8117926416799,0.01603453592352766,-5.185185185185187,3.681870963995781
Profuturo,completo_menos_completo_sin_retroceso_desde_maximo,0.0013861760443576454,0.07955869556661613,6.60863958736299,6.60863958736299,13.559322033898306,4.08921933085502,5.623878707968574,-0.0012334258402713072,5.723905723905723,1.575566535597578
