afp,modelo_elegido,familia,umbral_elegido,n_variables,n_train,n_valid,n_test,valid_puntaje_control_riesgo,valid_precision_alerta_pct,valid_cobertura_caidas_pct,valid_falsas_alarmas_pct,test_brier,test_auc,test_precision_alerta_pct,test_cobertura_caidas_pct,test_falsas_alarmas_pct,test_n_alertas,test_precision_riesgo_alto_pct,test_cobertura_caidas_riesgo_alto_pct,test_n_riesgo_alto,estado
Habitat,gradient_d3_lr0.03,gradient_boosting,0.55,86,1783,594,595,0.34867708963581073,67.0103092783505,22.64808362369338,10.423452768729643,0.2505690746256813,0.5371741637831604,45.0,28.235294117647058,25.882352941176475,160,49.60629921259843,24.705882352941178,127,EXPERIMENTAL_PENDIENTE_WALK_FORWARD
Integra,gradient_d2_lr0.03,gradient_boosting,0.55,55,1783,594,595,0.24973557992130893,60.0,8.19112627986348,5.3156146179401995,0.24965215130058052,0.5040116452330193,46.808510638297875,8.396946564885496,7.5075075075075075,47,45.714285714285715,6.106870229007633,35,EXPERIMENTAL_PENDIENTE_WALK_FORWARD
Prima,gradient_d2_lr0.03,gradient_boosting,0.55,47,1783,594,595,0.25708396203351314,62.16216216216216,8.013937282229964,4.5602605863192185,0.2537165107602876,0.5018839617023226,45.45454545454545,22.813688212927758,21.686746987951807,132,45.614035087719294,19.771863117870723,114,EXPERIMENTAL_PENDIENTE_WALK_FORWARD
Profuturo,gradient_d3_lr0.03,gradient_boosting,0.55,63,1783,594,595,0.2572890199637023,70.0,2.413793103448276,0.9868421052631579,0.2571301409385314,0.5109068263363576,44.86486486486487,31.203007518796994,31.00303951367781,185,47.22222222222222,25.563909774436087,144,EXPERIMENTAL_PENDIENTE_WALK_FORWARD
