afp,modelo_codigo,familia,parametros,umbral,brier,auc,prevalencia_caida_pct,n,n_alertas,tp,fp,fn,tn,precision_alerta_pct,cobertura_caidas_pct,falsas_alarmas_pct,cobertura_alertas_pct,puntaje_control_riesgo
Habitat,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.55,0.24524349736506687,0.608530343097754,48.31649831649832,594,46,27,19,260,288,58.69565217391305,9.40766550522648,6.188925081433225,7.744107744107744,0.2509880178060081
Habitat,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.6,0.24524349736506687,0.608530343097754,48.31649831649832,594,14,7,7,280,300,50.0,2.4390243902439024,2.2801302931596092,2.356902356902357,0.18613450385318187
Habitat,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.65,0.24524349736506687,0.608530343097754,48.31649831649832,594,1,1,0,286,307,100.0,0.34843205574912894,0.0,0.16835016835016833,0.3519163763066202
Habitat,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.7,0.24524349736506687,0.608530343097754,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.75,0.24524349736506687,0.608530343097754,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.55,0.24630843663410915,0.6059539888093157,48.31649831649832,594,31,17,14,270,293,54.83870967741935,5.923344947735192,4.5602605863192185,5.218855218855219,0.21995362049719203
Habitat,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.6,0.24630843663410915,0.6059539888093157,48.31649831649832,594,1,1,0,286,307,100.0,0.34843205574912894,0.0,0.16835016835016833,0.3519163763066202
Habitat,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.65,0.24630843663410915,0.6059539888093157,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.7,0.24630843663410915,0.6059539888093157,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.75,0.24630843663410915,0.6059539888093157,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,logistica_c10,regresion_logistica,"{""C"": 10.0}",0.55,0.2466775683039846,0.6056702493502367,48.31649831649832,594,26,13,13,274,294,50.0,4.529616724738676,4.234527687296417,4.377104377104377,0.19567836429876628
Habitat,logistica_c10,regresion_logistica,"{""C"": 10.0}",0.6,0.2466775683039846,0.6056702493502367,48.31649831649832,594,1,1,0,286,307,100.0,0.34843205574912894,0.0,0.16835016835016833,0.3519163763066202
Habitat,logistica_c10,regresion_logistica,"{""C"": 10.0}",0.65,0.2466775683039846,0.6056702493502367,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,logistica_c10,regresion_logistica,"{""C"": 10.0}",0.7,0.2466775683039846,0.6056702493502367,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,logistica_c10,regresion_logistica,"{""C"": 10.0}",0.75,0.2466775683039846,0.6056702493502367,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,gradient_d2_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 160}",0.55,0.2435120156370171,0.6059539888093157,48.31649831649832,594,103,64,39,223,268,62.13592233009708,22.299651567944252,12.703583061889251,17.34006734006734,0.32742022871714394
Habitat,gradient_d2_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 160}",0.6,0.2435120156370171,0.6059539888093157,48.31649831649832,594,59,38,21,249,286,64.40677966101694,13.240418118466899,6.840390879478828,9.932659932659933,0.2914056375856484
Habitat,gradient_d2_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 160}",0.65,0.2435120156370171,0.6059539888093157,48.31649831649832,594,13,8,5,279,302,61.53846153846154,2.7874564459930316,1.6286644951140066,2.1885521885521886,0.22908696134246306
