afp,variante_elegida,modelo_codigo,cobertura_objetivo,n_features,features,walk_auc,walk_mejora_precision_pp,walk_proteccion_neta_suma_pct,segunda_auc,segunda_mejora_precision_pp,segunda_proteccion_neta_suma_pct,estado
Habitat,completo,gb_d2_n100,0.15,26,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs"", ""dias_desde_shock"", ""dias_desde_minimo_factor"", ""dias_desde_minimo_sbs"", ""rebote_desde_minimo_factor"", ""fraccion_recuperada_factor"", ""rebote_desde_minimo_sbs"", ""fraccion_recuperada_sbs"", ""velocidad_rebote_factor"", ""cambio_velocidad_rebote_factor"", ""velocidad_rebote_sbs"", ""cambio_velocidad_rebote_sbs"", ""retroceso_desde_maximo_factor"", ""retroceso_desde_maximo_sbs""]",0.6315178303865748,12.467270896273916,3.741314205675578,0.5869503546099291,6.678889470927185,1.2740069400942189,CANDIDATO_A_CONGELAR
Integra,completo_sin_nivel_fraccion_recuperada,gb_d2_n100,0.05,22,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs"", ""dias_desde_shock"", ""dias_desde_minimo_factor"", ""dias_desde_minimo_sbs"", ""velocidad_rebote_factor"", ""cambio_velocidad_rebote_factor"", ""velocidad_rebote_sbs"", ""cambio_velocidad_rebote_sbs"", ""retroceso_desde_maximo_factor"", ""retroceso_desde_maximo_sbs""]",0.6327160493827161,14.107142857142858,1.0690962780991105,0.6667780748663101,26.07594936708861,1.9513298259094098,NO_CONGELAR
Prima,base_sin_rebote,logistica_C1.0_bal,0.1,13,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs""]",0.5682878899533284,7.388059701492539,-1.1773794407701599,0.5034722222222222,0.0,-4.8744584309357,NO_CONGELAR
Profuturo,base_sin_rebote,logistica_C0.05_bal,0.15,13,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs""]",0.6217629638964148,11.280487804878048,4.294494376495554,0.5797101449275363,3.6226685796269726,-2.544979938398517,NO_CONGELAR
