afp,variante,modelo_codigo,cobertura_objetivo,umbral_validacion,n,prevalencia_pct,auc,brier,n_alertas,cobertura_dias_pct,precision_alerta_pct,mejora_precision_pp,cobertura_caidas_pct,falsas_alarmas_pct,perdida_evitada_suma_pct,ganancia_sacrificada_suma_pct,proteccion_neta_suma_pct,puntaje_validacion
Habitat,base_sin_rebote,logistica_C0.05_normal,0.05,0.2745691822519333,304,15.460526315789474,0.5660236774567431,0.13066907944258183,16,5.263157894736842,18.75,3.2894736842105257,6.382978723404255,5.058365758754864,2.7623950459707403,4.95682775234455,-2.1944327063738096,0.019099292205943204
Habitat,base_sin_rebote,logistica_C0.05_normal,0.1,0.23265749510807573,304,15.460526315789474,0.5660236774567431,0.13066907944258183,31,10.197368421052632,25.806451612903224,10.34592529711375,17.02127659574468,8.949416342412452,5.501047760584561,6.86230835111982,-1.3612605905352584,0.07078081435196792
Habitat,base_sin_rebote,logistica_C0.05_normal,0.15,0.2140204764549037,304,15.460526315789474,0.5660236774567431,0.13066907944258183,46,15.131578947368421,21.73913043478261,6.278604118993133,21.27659574468085,14.007782101167315,7.052315224944721,10.158475982814188,-3.106160757869468,0.04935836700739774
Habitat,base_sin_rebote,logistica_C0.05_normal,0.2,0.2021919282843188,304,15.460526315789474,0.5660236774567431,0.13066907944258183,61,20.065789473684212,16.39344262295082,0.9329163071613439,21.27659574468085,19.844357976653697,7.232209325401059,13.44666368385164,-6.21445435845058,0.010296436634340173
Habitat,base_sin_rebote,logistica_C0.05_normal,0.25,0.19112915830778282,304,15.460526315789474,0.5660236774567431,0.13066907944258183,76,25.0,21.052631578947366,5.592105263157893,34.04255319148936,23.346303501945524,13.129995061095753,14.350755634639468,-1.2207605735437137,0.05962069652236208
Habitat,base_sin_rebote,logistica_C0.05_normal,0.3,0.18204664914451651,304,15.460526315789474,0.5660236774567431,0.13066907944258183,91,29.93421052631579,19.78021978021978,4.319693464430305,38.297872340425535,28.404669260700388,15.401194302683693,16.182904725420883,-0.781710422737189,0.05468721255945855
Habitat,base_sin_rebote,logistica_C0.05_bal,0.05,0.7012656735001612,304,15.460526315789474,0.5693352098683666,0.23407317059872687,16,5.263157894736842,18.75,3.2894736842105257,6.382978723404255,5.058365758754864,2.7456794812929797,4.567479542514199,-1.82180006122122,0.019528310053980723
Habitat,base_sin_rebote,logistica_C0.05_bal,0.1,0.6459475412508523,304,15.460526315789474,0.5693352098683666,0.23407317059872687,31,10.197368421052632,22.58064516129032,7.120118845500848,14.893617021276595,9.33852140077821,5.074424069816401,6.86230835111982,-1.7878842813034188,0.04932162676607368
Habitat,base_sin_rebote,logistica_C0.05_bal,0.15,0.6086310240997206,304,15.460526315789474,0.5693352098683666,0.23407317059872687,46,15.131578947368421,21.73913043478261,6.278604118993133,21.27659574468085,14.007782101167315,6.719065867927012,10.22768791777855,-3.5086220498515384,0.04889500696728681
Habitat,base_sin_rebote,logistica_C0.05_bal,0.2,0.5881801012861342,304,15.460526315789474,0.5693352098683666,0.23407317059872687,61,20.065789473684212,18.0327868852459,2.572260569456428,23.404255319148938,19.45525291828794,7.68484741505108,13.161580108211002,-5.476732693159922,0.02418148528378635
Habitat,base_sin_rebote,logistica_C0.05_bal,0.25,0.5614268452001263,304,15.460526315789474,0.5693352098683666,0.23407317059872687,76,25.0,19.736842105263158,4.276315789473683,31.914893617021278,23.73540856031128,11.53208316111664,14.578845234781202,-3.046762073664562,0.04610046805876447
Habitat,base_sin_rebote,logistica_C0.05_bal,0.3,0.5459287866694512,304,15.460526315789474,0.5693352098683666,0.23407317059872687,91,29.93421052631579,19.78021978021978,4.319693464430305,38.297872340425535,28.404669260700388,14.894405260803856,16.805223720965543,-1.9108184601616869,0.05338725264795008
Habitat,base_sin_rebote,logistica_C0.2_normal,0.05,0.25281686194707903,304,15.460526315789474,0.5662720423876149,0.13148143937909662,16,5.263157894736842,18.75,3.2894736842105257,6.382978723404255,5.058365758754864,2.7456794812929797,5.14539355708781,-2.3997140757948303,0.018862948524044
Habitat,base_sin_rebote,logistica_C0.2_normal,0.1,0.21494237581414702,304,15.460526315789474,0.5662720423876149,0.13148143937909662,31,10.197368421052632,25.806451612903224,10.34592529711375,17.02127659574468,8.949416342412452,5.501047760584561,6.86230835111982,-1.3612605905352584,0.07078081435196792
Habitat,base_sin_rebote,logistica_C0.2_normal,0.15,0.18979645022487984,304,15.460526315789474,0.5662720423876149,0.13148143937909662,46,15.131578947368421,21.73913043478261,6.278604118993133,21.27659574468085,14.007782101167315,6.7859498781401015,10.17258177478338,-3.3866318966432774,0.04903545615683579
Habitat,base_sin_rebote,logistica_C0.2_normal,0.2,0.17840026564288117,304,15.460526315789474,0.5662720423876149,0.13148143937909662,61,20.065789473684212,18.0327868852459,2.572260569456428,23.404255319148938,19.45525291828794,7.73985676591078,12.48440131469934,-4.744544548788561,0.025024465055266537
Habitat,base_sin_rebote,logistica_C0.2_normal,0.25,0.16538556726272388,304,15.460526315789474,0.5662720423876149,0.13148143937909662,76,25.0,18.421052631578945,2.9605263157894717,29.78723404255319,24.124513618677042,11.29423408653521,14.578845234781202,-3.2846111482459914,0.03440870455878128
Habitat,base_sin_rebote,logistica_C0.2_normal,0.3,0.1540318262633029,304,15.460526315789474,0.5662720423876149,0.13148143937909662,91,29.93421052631579,19.78021978021978,4.319693464430305,38.297872340425535,28.404669260700388,15.018988033275516,16.88758489833,-1.8685968650544864,0.05343586303705376
Habitat,base_sin_rebote,logistica_C0.2_bal,0.05,0.7047833502138897,304,15.460526315789474,0.5686729033860419,0.23337337310671996,16,5.263157894736842,18.75,3.2894736842105257,6.382978723404255,5.058365758754864,2.7456794812929797,4.81938320671125,-2.0737037254182704,0.01923828938796438
Habitat,base_sin_rebote,logistica_C0.2_bal,0.1,0.6553945787820113,304,15.460526315789474,0.5686729033860419,0.23337337310671996,31,10.197368421052632,22.58064516129032,7.120118845500848,14.893617021276595,9.33852140077821,5.055680629404431,6.886912806871001,-1.8312321774665699,0.049271719648780576
Habitat,base_sin_rebote,logistica_C0.2_bal,0.15,0.6136715912100563,304,15.460526315789474,0.5686729033860419,0.23337337310671996,46,15.131578947368421,21.73913043478261,6.278604118993133,21.27659574468085,14.007782101167315,6.719065867927012,9.68465520362165,-2.9655893356946392,0.04952020910529639
Habitat,base_sin_rebote,logistica_C0.2_bal,0.2,0.5947146283504333,304,15.460526315789474,0.5686729033860419,0.23337337310671996,61,20.065789473684212,19.672131147540984,4.211604831751509,25.53191489361702,19.06614785992218,8.975818575901082,12.05022828758446,-3.074409711683379,0.039983015711736
Habitat,base_sin_rebote,logistica_C0.2_bal,0.25,0.5644843797006838,304,15.460526315789474,0.5686729033860419,0.23337337310671996,76,25.0,19.736842105263158,4.276315789473683,31.914893617021278,23.73540856031128,11.58464750810045,14.611274748529151,-3.026627240428703,0.046123649610187334
Habitat,base_sin_rebote,logistica_C0.2_bal,0.3,0.5426453928866881,304,15.460526315789474,0.5686729033860419,0.23337337310671996,91,29.93421052631579,19.78021978021978,4.319693464430305,38.297872340425535,28.404669260700388,14.838472895402136,17.527265894969453,-2.688792999567316,0.052491558276923866
Habitat,base_sin_rebote,logistica_C1.0_normal,0.05,0.2500449064574029,304,15.460526315789474,0.5663548306979055,0.13207770281317416,16,5.263157894736842,18.75,3.2894736842105257,6.382978723404255,5.058365758754864,2.7456794812929797,5.14539355708781,-2.3997140757948303,0.018862948524044
Habitat,base_sin_rebote,logistica_C1.0_normal,0.1,0.20902663706610533,304,15.460526315789474,0.5663548306979055,0.13207770281317416,31,10.197368421052632,25.806451612903224,10.34592529711375,17.02127659574468,8.949416342412452,5.501047760584561,6.70044593323577,-1.1993981726512088,0.07096716910940022
Habitat,base_sin_rebote,logistica_C1.0_normal,0.15,0.18214576905689883,304,15.460526315789474,0.5663548306979055,0.13207770281317416,46,15.131578947368421,23.91304347826087,8.452517162471395,23.404255319148938,13.618677042801556,7.2073324583049425,9.221933161354082,-2.0146007030491395,0.06632363928754725
Habitat,base_sin_rebote,logistica_C1.0_normal,0.2,0.17140095373280645,304,15.460526315789474,0.5663548306979055,0.13207770281317416,61,20.065789473684212,19.672131147540984,4.211604831751509,25.53191489361702,19.06614785992218,8.547648411669211,12.245863117614332,-3.6982147059451216,0.03926481917228992
Habitat,base_sin_rebote,logistica_C1.0_normal,0.25,0.15622050964424983,304,15.460526315789474,0.5663548306979055,0.13207770281317416,76,25.0,18.421052631578945,2.9605263157894717,29.78723404255319,24.124513618677042,11.063389301512029,14.59029654977884,-3.52690724826681,0.034129745233099425
Habitat,base_sin_rebote,logistica_C1.0_normal,0.3,0.1457349539689251,304,15.460526315789474,0.5663548306979055,0.13207770281317416,91,29.93421052631579,19.78021978021978,4.319693464430305,38.297872340425535,28.404669260700388,14.95817279202696,17.91037267036765,-2.952199878340689,0.0521882937783361
