afp,variante,n_features,features,modelo_codigo,cobertura_objetivo,walk_n,walk_prevalencia_pct,walk_auc,walk_brier,walk_n_alertas,walk_cobertura_dias_pct,walk_precision_alerta_pct,walk_mejora_precision_pp,walk_cobertura_caidas_pct,walk_falsas_alarmas_pct,walk_perdida_evitada_suma_pct,walk_ganancia_sacrificada_suma_pct,walk_proteccion_neta_suma_pct,segunda_auc,segunda_mejora_precision_pp,segunda_proteccion_neta_suma_pct
Habitat,base_sin_rebote,13,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs""]",logistica_C1.0_normal,0.1,331,14.19939577039275,0.616047347917291,0.11977742381472471,22,6.646525679758309,27.27272727272727,13.07333150233452,12.76595744680851,5.633802816901409,7.092587844447889,4.253322917324709,2.83926492712318,0.5971631205673759,44.93975903614458,4.699107725721901
Habitat,completo,26,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs"", ""dias_desde_shock"", ""dias_desde_minimo_factor"", ""dias_desde_minimo_sbs"", ""rebote_desde_minimo_factor"", ""fraccion_recuperada_factor"", ""rebote_desde_minimo_sbs"", ""fraccion_recuperada_sbs"", ""velocidad_rebote_factor"", ""cambio_velocidad_rebote_factor"", ""velocidad_rebote_sbs"", ""cambio_velocidad_rebote_sbs"", ""retroceso_desde_maximo_factor"", ""retroceso_desde_maximo_sbs""]",gb_d2_n100,0.15,331,14.19939577039275,0.6315178303865748,0.11724753917383189,45,13.595166163141995,26.666666666666668,12.467270896273916,25.53191489361702,11.619718309859154,14.662360052677878,10.9210458470023,3.741314205675578,0.5869503546099291,6.678889470927185,1.2740069400942189
Habitat,completo_sin_distancia_temporal,23,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs"", ""rebote_desde_minimo_factor"", ""fraccion_recuperada_factor"", ""rebote_desde_minimo_sbs"", ""fraccion_recuperada_sbs"", ""velocidad_rebote_factor"", ""cambio_velocidad_rebote_factor"", ""velocidad_rebote_sbs"", ""cambio_velocidad_rebote_sbs"", ""retroceso_desde_maximo_factor"", ""retroceso_desde_maximo_sbs""]",gb_d2_n100,0.15,331,14.19939577039275,0.6356382978723405,0.11700416536343655,45,13.595166163141995,26.666666666666668,12.467270896273916,25.53191489361702,11.619718309859154,14.607455603712358,10.9210458470023,3.6864097567100576,0.5914893617021277,7.667031763417303,1.1885197100451592
Habitat,completo_sin_nivel_fraccion_recuperada,22,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs"", ""dias_desde_shock"", ""dias_desde_minimo_factor"", ""dias_desde_minimo_sbs"", ""velocidad_rebote_factor"", ""cambio_velocidad_rebote_factor"", ""velocidad_rebote_sbs"", ""cambio_velocidad_rebote_sbs"", ""retroceso_desde_maximo_factor"", ""retroceso_desde_maximo_sbs""]",gb_d1_n80,0.3,331,14.19939577039275,0.5961192688043154,0.11926070584469924,103,31.1178247734139,20.388349514563107,6.188953744170355,44.680851063829785,28.87323943661972,29.69653432704315,30.215563541068903,-0.5190292140257513,0.5744680851063829,2.5868178596739897,-1.5023618739851918
Habitat,completo_sin_velocidad_rebote,22,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs"", ""dias_desde_shock"", ""dias_desde_minimo_factor"", ""dias_desde_minimo_sbs"", ""rebote_desde_minimo_factor"", ""fraccion_recuperada_factor"", ""rebote_desde_minimo_sbs"", ""fraccion_recuperada_sbs"", ""retroceso_desde_maximo_factor"", ""retroceso_desde_maximo_sbs""]",gb_d2_n100,0.25,331,14.19939577039275,0.632379382679053,0.11649049665375041,78,23.564954682779458,21.794871794871796,7.595476024479045,36.17021276595745,21.47887323943662,19.14782703409459,19.15075408899259,-0.0029270548979998257,0.5879432624113474,3.689759036144577,0.015129503502679664
Habitat,completo_sin_retroceso_desde_maximo,24,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs"", ""dias_desde_shock"", ""dias_desde_minimo_factor"", ""dias_desde_minimo_sbs"", ""rebote_desde_minimo_factor"", ""fraccion_recuperada_factor"", ""rebote_desde_minimo_sbs"", ""fraccion_recuperada_sbs"", ""velocidad_rebote_factor"", ""cambio_velocidad_rebote_factor"", ""velocidad_rebote_sbs"", ""cambio_velocidad_rebote_sbs""]",gb_d2_n100,0.2,331,14.19939577039275,0.5902007791429429,0.12051471801438746,58,17.522658610271904,18.96551724137931,4.766121470986559,23.404255319148938,16.549295774647888,12.30441956702789,14.700452047326529,-2.3960324802986377,0.5676595744680851,-0.7745266781411381,-1.9475826328683707
Integra,base_sin_rebote,13,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs""]",gb_d2_n100,0.05,315,17.142857142857142,0.5687526607066836,0.14349477124095109,11,3.492063492063492,18.181818181818183,1.0389610389610393,3.7037037037037033,3.4482758620689653,2.7822605664529503,4.61973934994496,-1.83747878349201,0.5999331550802139,6.07594936708861,-0.49165873856767994
Integra,completo,26,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs"", ""dias_desde_shock"", ""dias_desde_minimo_factor"", ""dias_desde_minimo_sbs"", ""rebote_desde_minimo_factor"", ""fraccion_recuperada_factor"", ""rebote_desde_minimo_sbs"", ""fraccion_recuperada_sbs"", ""velocidad_rebote_factor"", ""cambio_velocidad_rebote_factor"", ""velocidad_rebote_sbs"", ""cambio_velocidad_rebote_sbs"", ""retroceso_desde_maximo_factor"", ""retroceso_desde_maximo_sbs""]",logistica_C1.0_bal,0.1,315,17.142857142857142,0.565772669220945,0.2180572366917323,23,7.301587301587302,26.08695652173913,8.944099378881987,11.11111111111111,6.513409961685824,5.91154426452212,4.241650387539093,1.6698938769830265,0.6133021390374331,-5.590717299578059,-1.7018583929838904
Integra,completo_sin_distancia_temporal,23,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs"", ""rebote_desde_minimo_factor"", ""fraccion_recuperada_factor"", ""rebote_desde_minimo_sbs"", ""fraccion_recuperada_sbs"", ""velocidad_rebote_factor"", ""cambio_velocidad_rebote_factor"", ""velocidad_rebote_sbs"", ""cambio_velocidad_rebote_sbs"", ""retroceso_desde_maximo_factor"", ""retroceso_desde_maximo_sbs""]",logistica_C0.2_bal,0.05,315,17.142857142857142,0.5792535830850007,0.21785756893047703,14,4.444444444444445,28.57142857142857,11.428571428571427,7.4074074074074066,3.8314176245210727,3.4208386550299097,3.335508405047211,0.08533024998269925,0.6209893048128342,-13.924050632911392,-2.17502311962746
Integra,completo_sin_nivel_fraccion_recuperada,22,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs"", ""dias_desde_shock"", ""dias_desde_minimo_factor"", ""dias_desde_minimo_sbs"", ""velocidad_rebote_factor"", ""cambio_velocidad_rebote_factor"", ""velocidad_rebote_sbs"", ""cambio_velocidad_rebote_sbs"", ""retroceso_desde_maximo_factor"", ""retroceso_desde_maximo_sbs""]",gb_d2_n100,0.05,315,17.142857142857142,0.6327160493827161,0.1386000243065866,16,5.079365079365079,31.25,14.107142857142858,9.25925925925926,4.21455938697318,7.576461756982781,6.50736547888367,1.0690962780991105,0.6667780748663101,26.07594936708861,1.9513298259094098
Integra,completo_sin_velocidad_rebote,22,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs"", ""dias_desde_shock"", ""dias_desde_minimo_factor"", ""dias_desde_minimo_sbs"", ""rebote_desde_minimo_factor"", ""fraccion_recuperada_factor"", ""rebote_desde_minimo_sbs"", ""fraccion_recuperada_sbs"", ""retroceso_desde_maximo_factor"", ""retroceso_desde_maximo_sbs""]",logistica_C0.2_bal,0.2,315,17.142857142857142,0.5516531857528026,0.21992142905966744,49,15.555555555555555,18.367346938775512,1.2244897959183683,16.666666666666664,15.32567049808429,12.506718475286391,10.633998239347884,1.8727202359385076,0.5685160427807486,1.460564751703994,1.260363234774102
Integra,completo_sin_retroceso_desde_maximo,24,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs"", ""dias_desde_shock"", ""dias_desde_minimo_factor"", ""dias_desde_minimo_sbs"", ""rebote_desde_minimo_factor"", ""fraccion_recuperada_factor"", ""rebote_desde_minimo_sbs"", ""fraccion_recuperada_sbs"", ""velocidad_rebote_factor"", ""cambio_velocidad_rebote_factor"", ""velocidad_rebote_sbs"", ""cambio_velocidad_rebote_sbs""]",logistica_C1.0_bal,0.05,315,17.142857142857142,0.5893997445721584,0.216939427842407,12,3.8095238095238098,33.33333333333333,16.19047619047619,7.4074074074074066,3.065134099616858,3.40843867622585,2.81042759939116,0.59801107683469,0.615307486631016,-13.924050632911392,-2.18742309843152
Prima,base_sin_rebote,13,"[""retorno_medio_factores"", ""amplitud_factores_positivos"", ""amplitud_factores_negativos"", ""dispersion_factores"", ""factor_aceleracion"", ""factor_momentum_2"", ""factor_momentum_3"", ""factor_volatilidad_5"", ""momentum_sbs_3"", ""momentum_sbs_5"", ""vol_sbs_5"", ""vol_sbs_10"", ""aceleracion_sbs""]",logistica_C1.0_bal,0.1,335,17.611940298507463,0.5682878899533284,0.22501807533732832,32,9.55223880597015,25.0,7.388059701492539,13.559322033898304,8.695652173913043,10.215303056230809,11.392682497000969,-1.1773794407701599,0.5034722222222222,0.0,-4.8744584309357
