afp,variante,segmento,n,prevalencia_pct,auc,brier,n_alertas,cobertura_dias_pct,precision_alerta_pct,mejora_precision_pp,cobertura_caidas_pct,falsas_alarmas_pct,perdida_evitada_suma_pct,ganancia_sacrificada_suma_pct,proteccion_neta_suma_pct
Habitat,base_sin_rebote,primera_mitad,165,13.333333333333334,0.6465352828989193,0.11272658834648788,17,10.303030303030303,17.647058823529413,4.31372549019608,13.636363636363635,9.79020979020979,2.2293867704733503,4.08922956907207,-1.8598427985987196
Habitat,base_sin_rebote,segunda_mitad,166,15.060240963855422,0.5971631205673759,0.1267857843705023,5,3.0120481927710845,60.0,44.93975903614458,12.0,1.4184397163120568,4.86320107397454,0.16409334825264,4.699107725721901
Habitat,completo,primera_mitad,165,13.333333333333334,0.6884933248569612,0.1067708378187414,22,13.333333333333334,31.818181818181817,18.484848484848484,31.818181818181817,10.48951048951049,6.37004494035488,3.9027376747735194,2.4673072655813604
Habitat,completo,segunda_mitad,166,15.060240963855422,0.5869503546099291,0.1276611278701568,23,13.855421686746988,21.73913043478261,6.678889470927185,20.0,12.76595744680851,8.292315112323,7.018308172228781,1.2740069400942189
Habitat,completo_sin_distancia_temporal,primera_mitad,165,13.333333333333334,0.6923076923076923,0.10664102733046683,23,13.939393939393941,30.434782608695656,17.10144927536232,31.818181818181817,11.188811188811188,6.400627721438419,3.9027376747735194,2.4978900466648994
Habitat,completo_sin_distancia_temporal,segunda_mitad,166,15.060240963855422,0.5914893617021277,0.12730487485403896,22,13.253012048192772,22.727272727272727,7.667031763417303,20.0,12.056737588652481,8.20682788227394,7.018308172228781,1.1885197100451592
Habitat,completo_sin_nivel_fraccion_recuperada,primera_mitad,165,13.333333333333334,0.6330260648442466,0.11217965295390064,52,31.515151515151512,23.076923076923077,9.743589743589745,54.54545454545454,27.972027972027973,11.724415351904218,10.74108269194478,0.9833326599594392
Habitat,completo_sin_nivel_fraccion_recuperada,segunda_mitad,166,15.060240963855422,0.5744680851063829,0.12629910179037257,51,30.72289156626506,17.647058823529413,2.5868178596739897,36.0,29.78723404255319,17.97211897513893,19.47448084912412,-1.5023618739851918
Habitat,completo_sin_velocidad_rebote,primera_mitad,165,13.333333333333334,0.6965988556897648,0.10561100433405503,46,27.878787878787882,23.91304347826087,10.579710144927537,50.0,24.475524475524477,9.18129231532154,9.19934887372222,-0.01805655840067949
Habitat,completo_sin_velocidad_rebote,segunda_mitad,166,15.060240963855422,0.5879432624113474,0.1273044498630862,32,19.27710843373494,18.75,3.689759036144577,24.0,18.439716312056735,9.96653471877305,9.95140521527037,0.015129503502679664
Habitat,completo_sin_retroceso_desde_maximo,primera_mitad,165,13.333333333333334,0.6287349014621741,0.11208769156857534,30,18.181818181818183,23.333333333333332,10.0,31.818181818181817,16.083916083916083,5.330419789411659,5.77886963684193,-0.4484498474302705
Habitat,completo_sin_retroceso_desde_maximo,segunda_mitad,166,15.060240963855422,0.5676595744680851,0.12889097924064644,28,16.867469879518072,14.285714285714285,-0.7745266781411381,16.0,17.02127659574468,6.97399977761623,8.9215824104846,-1.9475826328683707
Integra,base_sin_rebote,primera_mitad,157,20.382165605095544,0.537625,0.16734561015659336,6,3.821656050955414,16.666666666666664,-3.7154989384288766,3.125,4.0,1.29879064813985,2.6446106930641804,-1.3458200449243305
Integra,base_sin_rebote,segunda_mitad,158,13.924050632911392,0.5999331550802139,0.11979488700199012,5,3.1645569620253164,20.0,6.07594936708861,4.545454545454546,2.941176470588235,1.4834699183131,1.97512865688078,-0.49165873856767994
Integra,completo,primera_mitad,157,20.382165605095544,0.51475,0.2390453292790781,11,7.006369426751593,45.45454545454545,25.07237984944991,15.625,4.8,4.53341412077801,1.161661850811094,3.3717522699669153
Integra,completo,segunda_mitad,158,13.924050632911392,0.6133021390374331,0.19720198013342038,12,7.59493670886076,8.333333333333332,-5.590717299578059,4.545454545454546,8.088235294117647,1.37813014374411,3.0799885367280004,-1.7018583929838904
Integra,completo_sin_distancia_temporal,primera_mitad,157,20.382165605095544,0.53325,0.23951196111890732,8,5.095541401273886,50.0,29.617834394904456,12.5,3.2,3.40843867622585,1.14808530661569,2.26035336961016
Integra,completo_sin_distancia_temporal,segunda_mitad,158,13.924050632911392,0.6209893048128342,0.19634022985716335,6,3.79746835443038,0.0,-13.924050632911392,0.0,4.411764705882353,0.01239997880406,2.18742309843152,-2.17502311962746
Integra,completo_sin_nivel_fraccion_recuperada,primera_mitad,157,20.382165605095544,0.6211249999999999,0.1630359568607814,6,3.821656050955414,16.666666666666664,-3.7154989384288766,3.125,4.0,1.00658920471479,1.8888227525250902,-0.8822335478103003
Integra,completo_sin_nivel_fraccion_recuperada,segunda_mitad,158,13.924050632911392,0.6667780748663101,0.11431874955336771,10,6.329113924050633,40.0,26.07594936708861,18.181818181818183,4.411764705882353,6.56987255226799,4.61854272635858,1.9513298259094098
Integra,completo_sin_velocidad_rebote,primera_mitad,157,20.382165605095544,0.5205,0.23911525572084613,23,14.64968152866242,21.73913043478261,1.3569648296870658,15.625,14.399999999999999,4.430776121324341,3.8184191201599336,0.6123570011644069
Integra,completo_sin_velocidad_rebote,segunda_mitad,158,13.924050632911392,0.5685160427807486,0.20084908231406576,26,16.455696202531644,15.384615384615385,1.460564751703994,18.181818181818183,16.176470588235293,8.075942353962052,6.815579119187951,1.260363234774102
