fecha,valor_cuota
2026-01-02,63.0624452
2026-01-05,64.0968477
2026-01-06,65.0222596
2026-01-07,64.7466603
2026-01-08,64.81597359999999
2026-01-09,65.4085085
2026-01-12,66.2644858
2026-01-13,66.4142661
2026-01-14,66.6723727
2026-01-15,66.9858961
2026-01-16,67.01718149999999
2026-01-19,66.883625
2026-01-20,67.20638579999999
2026-01-21,67.5490132
2026-01-22,68.3665282
2026-01-23,69.1839112
2026-01-26,69.7924912
2026-01-27,70.4966383
2026-01-28,70.9825421
2026-01-29,70.4476009
2026-01-30,67.2804365
2026-02-02,67.3680682
2026-02-03,69.0049085
2026-02-04,67.75380750000001
2026-02-05,66.4806454
2026-02-06,68.1494962
2026-02-09,69.5301336
2026-02-10,68.9387323
2026-02-11,69.7711417
2026-02-12,68.28001669999999
2026-02-13,68.8662011
2026-02-16,68.86618440000001
2026-02-17,67.9997361
2026-02-18,68.88723490000001
2026-02-19,69.1669852
2026-02-20,69.9947923
2026-02-23,70.5307253
2026-02-24,71.4637068
2026-02-25,72.0136832
2026-02-26,71.9823344
2026-02-27,72.1394286
2026-03-02,72.0701188
2026-03-03,69.2514343
2026-03-04,69.74213900000001
2026-03-05,67.8341914
2026-03-06,67.3626335
2026-03-09,67.96706710000001
2026-03-10,68.4964052
2026-03-11,67.9244297
2026-03-12,66.5923372
2026-03-13,65.5049918
2026-03-16,66.1903339
2026-03-17,66.2901412
2026-03-18,64.8530784
2026-03-19,63.7072561
2026-03-20,62.2845025
2026-03-23,63.7514175
2026-03-24,63.8695262
2026-03-25,64.86870640000001
2026-03-26,63.382884700000005
2026-03-27,63.6131059
2026-03-30,63.1341003
2026-03-31,65.1797399
2026-04-01,66.4258527
2026-04-02,65.9194978
2026-04-06,65.90005049999999
2026-04-07,65.8954016
2026-04-08,68.1833191
2026-04-09,68.1696927
2026-04-10,68.6648503
2026-04-13,69.1042024
2026-04-14,69.83278390000001
2026-04-15,68.8050343
2026-04-16,69.4941034
2026-04-17,70.09192780000001
2026-04-20,69.7637761
2026-04-21,68.2148193
2026-04-22,69.3758296
2026-04-23,68.5443047
2026-04-24,69.29837309999999
2026-04-27,68.8970772
2026-04-28,67.7320239
2026-04-29,67.05704010000001
2026-04-30,68.2211164
2026-05-01,68.0293085
2026-05-04,67.6056176
2026-05-05,67.9996896
2026-05-06,69.8290569
2026-05-07,69.5037787
2026-05-08,70.3897559
2026-05-11,71.3705229
2026-05-12,70.812851
2026-05-13,71.0845734
2026-05-14,70.8470989
2026-05-15,68.478899
2026-05-18,67.9831173
2026-05-19,67.128032
2026-05-20,68.4622573
2026-05-21,68.9077609
2026-05-22,68.6568631
2026-05-25,68.6882542
2026-05-26,70.8321633
2026-05-27,70.1458301
2026-05-28,70.6707533
2026-05-29,71.15447420000001
2026-06-01,71.1479104
2026-06-02,72.00246680000001
2026-06-03,71.1049439
2026-06-04,70.506511
2026-06-05,67.0292273
2026-06-08,67.10059100000001
2026-06-09,68.1275219
2026-06-10,67.22211700000001
2026-06-11,70.0832019
2026-06-12,71.0335702
2026-06-15,73.1777194
2026-06-16,72.5840362
2026-06-17,72.6023076
2026-06-18,72.61369810000001
2026-06-19,72.6232677
2026-06-22,72.766161
2026-06-23,70.9600594
2026-06-24,70.7652183
2026-06-25,71.4791849
2026-06-26,71.1445756
2026-06-29,71.2934767
2026-07-07,69.9352638
2026-07-08,69.8131004
2026-07-09,70.9792394
2026-07-10,71.0624925
2026-07-13,69.4242724
2026-07-14,70.5044231
2026-07-15,69.9080824
2026-07-16,68.4036329
2026-07-17,68.2147702
