scope,model,n,correct,classification_accuracy,direction_correct,direction_accuracy,active_n,active_correct,active_accuracy,mae_return_pp,rmse_return_pp,r2,sube_n,sube_correct,sube_accuracy,baja_n,baja_correct,baja_accuracy,neutro_n,neutro_correct,neutro_accuracy
last90,t,90,76,0.8444444444444444,81,0.9,84,76,0.9047619047619048,0.31859571989658303,0.42183580847855084,0.933880914001463,42,37,0.8809523809523809,42,39,0.9285714285714286,6,0,0.0
last90,t_minus_1,90,36,0.4,43,0.4777777777777778,73,34,0.4657534246575342,1.3355690558046651,1.7405801253366777,-0.12571381507696455,44,20,0.45454545454545453,29,14,0.4827586206896552,17,2,0.11764705882352941
last90,t_plus_t_minus_1,90,75,0.8333333333333334,81,0.9,84,75,0.8928571428571429,0.34780525666544165,0.44661883888976384,0.925883648604433,42,37,0.8809523809523809,42,38,0.9047619047619048,6,0,0.0
validation20,t,51,44,0.8627450980392157,48,0.9411764705882353,47,43,0.9148936170212766,0.28096773121193,0.3288943478412887,0.956356796418892,28,26,0.9285714285714286,19,17,0.8947368421052632,4,1,0.25
validation20,t_minus_1,51,26,0.5098039215686274,25,0.49019607843137253,44,24,0.5454545454545454,1.298635740747512,1.679560940373176,-0.13813907584881835,33,21,0.6363636363636364,11,3,0.2727272727272727,7,2,0.2857142857142857
validation20,t_plus_t_minus_1,51,44,0.8627450980392157,47,0.9215686274509803,47,43,0.9148936170212766,0.3142985381470466,0.36068518485714807,0.9475119534429783,28,26,0.9285714285714286,19,17,0.8947368421052632,4,1,0.25
test20,t,52,44,0.8461538461538461,46,0.8846153846153846,48,44,0.9166666666666666,0.3465710346716122,0.48239570891612393,0.9130544878620774,23,20,0.8695652173913043,25,24,0.96,4,0,0.0
test20,t_minus_1,52,18,0.34615384615384615,26,0.5,42,18,0.42857142857142855,1.3148972664013345,1.719309676590388,-0.10445623946129623,22,7,0.3181818181818182,20,11,0.55,10,0,0.0
test20,t_plus_t_minus_1,52,43,0.8269230769230769,46,0.8846153846153846,48,43,0.8958333333333334,0.38089240069741764,0.5084163570490609,0.903421751045804,23,20,0.8695652173913043,25,23,0.92,4,0,0.0
