fecha,SPY,NEM,FCX,EPU,MCHI,EEM,USD_PEN,ret_SPY,ret_NEM,ret_FCX,ret_EPU,ret_MCHI,ret_EEM,ret_USD_PEN
2025-06-26,611.8699951171875,59.18999862670898,44.459999084472656,49.11000061035156,55.540000915527344,48.27999877929688,3.551,0.0078238240186492,0.0194625771045502,0.0684931130092818,0.0378275766498605,0.0001801213119096,0.0066722206199503,-0.0067132867132867
2025-06-27,614.9099731445312,56.7599983215332,43.869998931884766,48.4900016784668,55.18000030517578,48.09000015258789,3.55,0.0049683397643343,-0.0410542382421895,-0.0132703590809102,-0.0126246981099421,-0.0064818257907323,-0.0039353486228848,-0.0002816108138553
2025-06-30,617.8499755859375,58.2599983215332,43.34999847412109,48.59000015258789,55.09999847412109,48.2400016784668,3.544,0.0047811916700124,0.0264270620922646,-0.0118532133673187,0.002062249343363,-0.0014498338276953,0.003119183310521,-0.0016901408450703
2025-07-01,617.6500244140625,58.83000183105469,44.04999923706055,48.86000061035156,55.27000045776367,48.33000183105469,3.5625,-0.0003236241478934,0.0097837886361697,0.0161476536927063,0.0055567083127348,0.0030853355417499,0.0018656747399754,0.0052200902934536
2025-07-02,620.4500122070312,60.060001373291016,45.77000045776367,49.75,55.0,48.540000915527344,3.552,0.0045332918032747,0.020907691721115,0.0390465664130146,0.0182152963268666,-0.004885117704495,0.0043451081422827,-0.0029473684210525
2025-07-03,625.3400268554688,59.900001525878906,45.79999923706055,50.060001373291016,54.720001220703125,48.7599983215332,3.548,0.0078813998746538,-0.0026640000624985,0.0006554244919563,0.0062311833827339,-0.0050908868963067,0.004532290932353,-0.0011261261261261
2025-07-04,,,,,,,3.55,,,,,,,0.0005636978579481
2025-07-07,620.6799926757812,60.15999984741211,45.130001068115234,49.619998931884766,54.619998931884766,48.06999969482422,3.565,-0.0074520004790362,0.0043405394809694,-0.0146287812250258,-0.0087895011852917,-0.001827527167169,-0.0141509157190489,0.004225352112676
2025-07-08,620.3400268554688,57.61000061035156,46.27000045776367,49.29999923706055,55.130001068115234,48.369998931884766,3.548,-0.0005477312372305,-0.0423869555107759,0.0252603448408481,-0.0064490064835247,0.0093372783999223,0.0062408828576059,-0.0047685834502103
2025-07-09,624.0599975585938,58.75,45.59000015258789,48.810001373291016,54.58000183105469,48.290000915527344,3.55,0.0059966639940707,0.0197882204056702,-0.0146963539755419,-0.0099391048955875,-0.0099764053401886,-0.0016538767443446,0.0005636978579481
2025-07-10,625.8200073242188,59.77999877929688,47.209999084472656,49.119998931884766,55.0099983215332,48.41999816894531,3.547,0.0028202573030002,0.0175318941156914,0.0355340848094472,0.0063511073524242,0.007878279150842,0.0026920118234283,-0.0008450704225351
2025-07-11,623.6199951171875,60.130001068115234,46.36000061035156,48.83000183105469,54.95000076293945,48.2599983215332,3.556,-0.003515407275708,0.0058548393436832,-0.018004628057717,-0.0059038499009785,-0.0010906664320013,-0.0033044166349168,0.0025373555117
2025-07-14,624.8099975585938,60.81999969482422,45.630001068115234,48.68999862670898,55.54999923706055,48.33000183105469,3.567,0.0019082172648787,0.0114751141601903,-0.0157463229643126,-0.0028671554187136,0.0109189893683452,0.001450549356738,0.0030933633295837
2025-07-15,622.1400146484375,57.34999847412109,44.119998931884766,48.119998931884766,56.68000030517578,48.68000030517578,3.56,-0.0042732717475537,-0.0570536211462431,-0.033092309903223,-0.0117067100205573,0.020342053710801,0.0072418469038046,-0.0019624334174376
