fecha,valor_cuota
2024-12-31,21.9260027
2025-01-02,21.8844727
2025-01-03,21.983004
2025-01-06,22.1483075
2025-01-07,22.1197873
2025-01-08,22.1538993
2025-01-09,22.1044851
2025-01-10,21.9888623
2025-01-13,21.9387456
2025-01-14,21.9671036
2025-01-15,22.0649429
2025-01-16,22.0570941
2025-01-17,22.0751762
2025-01-20,22.0657323
2025-01-21,22.1522983
2025-01-22,22.1614138
2025-01-23,22.1573456
2025-01-24,22.143164
2025-01-27,21.9574511
2025-01-28,21.9470268
2025-01-29,21.9092297
2025-01-30,22.041727
2025-01-31,22.0206574
2025-02-03,21.855655
2025-02-04,21.9525156
2025-02-05,22.0988038
2025-02-06,22.1225745
2025-02-07,22.0353793
2025-02-10,22.0842047
2025-02-11,22.0472511
2025-02-12,22.0371605
2025-02-13,22.1183248
2025-02-14,22.1156076
2025-02-17,22.1310067
2025-02-18,22.1212713
2025-02-19,22.1055778
2025-02-20,21.9856119
2025-02-21,21.8191365
2025-02-24,21.6944722
2025-02-25,21.5479508
2025-02-26,21.5908076
2025-02-27,21.4077693
2025-02-28,21.5321955
2025-03-03,21.4131658
2025-03-04,21.3454815
2025-03-05,21.447962200000003
2025-03-06,21.3454479
2025-03-07,21.3907497
2025-03-10,21.1780875
2025-03-11,21.1491117
2025-03-12,21.2206285
2025-03-13,21.251966000000003
2025-03-14,21.4326994
2025-03-17,21.5347267
2025-03-18,21.5298987
2025-03-19,21.5961233
2025-03-20,21.6115441
2025-03-21,21.6729406
2025-03-24,21.8400083
2025-03-25,21.8853641
2025-03-26,21.7375592
2025-03-27,21.6959922
2025-03-28,21.5635826
2025-03-31,21.5677909
2025-04-01,21.5884762
2025-04-02,21.5941343
2025-04-03,21.0786924
2025-04-04,20.4734145
2025-04-07,20.3661096
2025-04-08,20.3382395
2025-04-09,20.938213
2025-04-10,20.8038804
2025-04-11,21.0013542
2025-04-14,21.1791759
2025-04-15,21.2636701
2025-04-16,21.0679367
2025-04-17,21.005324
2025-04-18,21.0103527
2025-04-21,20.928118800000004
2025-04-22,21.0937616
2025-04-23,21.2446396
2025-04-24,21.4565267
2025-04-25,21.5110664
2025-04-28,21.5364182
2025-04-29,21.5225296
2025-04-30,21.5294731
2025-05-01,21.4581543
2025-05-02,21.6596592
2025-05-05,21.7453256
2025-05-06,21.721802200000003
2025-05-07,21.6576562
2025-05-08,21.6444755
2025-05-09,21.7604098
2025-05-12,21.9710001
2025-05-13,22.1705722
2025-05-14,22.195125200000003
2025-05-15,22.2580053
2025-05-16,22.2901677
2025-05-19,22.3011771
2025-05-20,22.3534277
2025-05-21,22.2738972
2025-05-22,22.112999100000003
2025-05-23,22.171776
2025-05-26,22.1701776
2025-05-27,22.1965901
2025-05-28,22.1791996
2025-05-29,22.1879381
2025-05-30,22.0852618
2025-06-02,22.2930833
2025-06-03,22.4102807
2025-06-04,22.4496337
2025-06-05,22.6247989
2025-06-06,22.7614748
2025-06-09,22.767338100000003
2025-06-10,22.8177277
2025-06-11,22.8001326
2025-06-12,22.8193577
2025-06-13,22.7490273
2025-06-16,22.816651200000003
2025-06-17,22.7784148
2025-06-18,22.6521496
2025-06-19,22.6784374
2025-06-20,22.6046268
2025-06-23,22.6270883
2025-06-24,22.718684600000003
2025-06-25,22.741502500000003
