fecha,USD_PEN_BCRP
2026-06-01,3.424
2026-06-02,3.414
2026-06-03,3.422
2026-06-04,3.418
2026-06-05,3.443
2026-06-08,3.498
2026-06-09,3.375
2026-06-10,3.402
2026-06-11,3.394
2026-06-12,3.389
2026-06-15,3.387
2026-06-16,3.382
2026-06-17,3.384
2026-06-18,3.388
2026-06-19,3.386
2026-06-22,3.387
2026-06-23,3.410
2026-06-24,3.425
2026-06-25,3.415
2026-06-26,3.415
2026-06-30,3.415
2026-07-01,3.416
2026-07-02,3.409
2026-07-03,3.403
2026-07-06,3.411
2026-07-07,3.409
2026-07-08,3.412
2026-07-09,3.406
2026-07-10,3.397
2026-07-13,3.406
2026-07-14,3.397
2026-07-15,3.391
2026-07-16,3.396
2026-07-17,3.408
2026-07-20,3.408
2026-07-21,3.403
2026-07-22,3.404
2026-07-24,3.411
2026-07-30,3.399
2026-07-31,3.400
2026-08-03,3.402
2026-08-04,3.394
2026-08-05,3.394
2026-08-07,3.391
2026-08-10,3.387
2026-08-11,3.372
2026-08-12,3.365
2026-08-13,3.371
2026-08-14,3.368
2026-08-17,3.370
2026-08-18,3.362
2026-08-19,3.361
2026-08-20,3.361
2026-08-21,3.352
2026-08-24,3.356
2026-08-25,3.350
2026-08-26,3.350
2026-08-27,3.350
