fecha,USD_PEN_BCRP
2026-04-15,3.439
2026-04-16,3.436
2026-04-17,3.43721428571429
2026-04-20,3.43592857142857
2026-04-21,3.43807142857143
2026-04-22,3.44214285714286
2026-04-23,3.46192857142857
2026-04-24,3.4775
2026-04-27,3.50771428571429
2026-04-28,3.51957142857143
2026-04-29,3.53
2026-04-30,3.518
2026-05-04,3.51735714285714
2026-05-05,3.49257142857143
2026-05-06,3.46757142857143
2026-05-07,3.46028571428571
2026-05-08,3.44478571428571
2026-05-11,3.43257142857143
2026-05-12,3.43278571428571
2026-05-13,3.42371428571429
2026-05-14,3.41742857142857
2026-05-15,3.43428571428571
2026-05-18,3.42928571428571
2026-05-19,3.42707142857143
2026-05-20,3.41085714285714
2026-05-21,3.41507142857143
2026-05-22,3.41957142857143
2026-05-25,3.413
2026-05-26,3.41971428571429
2026-05-27,3.41864285714286
2026-05-28,3.41421428571429
2026-05-29,3.4145
2026-06-01,3.41878571428571
2026-06-02,3.41007142857143
2026-06-03,3.41978571428571
2026-06-04,3.41471428571429
2026-06-05,3.45485714285714
2026-06-08,3.48421428571429
2026-06-09,3.365
2026-06-10,3.41235714285714
2026-06-11,3.392
2026-06-12,3.38835714285714
2026-06-15,3.38321428571429
2026-06-16,3.37957142857143
2026-06-17,3.38071428571429
2026-06-18,3.38557142857143
2026-06-19,3.38214285714286
2026-06-22,3.3845
2026-06-23,3.40685714285714
2026-06-24,3.42292857142857
2026-06-25,3.41221428571429
2026-06-26,3.41092857142857
2026-06-30,3.41014285714286
2026-07-01,3.41457142857143
2026-07-02,3.40514285714286
2026-07-03,3.39828571428571
2026-07-06,3.406
2026-07-07,3.40614285714286
2026-07-08,3.4105
2026-07-09,3.40242857142857
2026-07-10,3.39364285714286
2026-07-13,3.40271428571429
2026-07-14,3.393
2026-07-15,3.38628571428571
2026-07-16,3.39407142857143
2026-07-17,3.40828571428571
2026-07-20,3.40378571428571
2026-07-21,3.39914285714286
2026-07-22,3.40114285714286
2026-07-24,3.40664285714286
2026-07-30,3.393
2026-07-31,3.39842857142857
2026-08-03,3.39585714285714
2026-08-04,3.39014285714286
2026-08-05,3.38914285714286
2026-08-07,3.38078571428571
2026-08-10,3.37692857142857
2026-08-11,3.3665
2026-08-12,3.36228571428571
2026-08-13,3.36485714285714
2026-08-14,3.36457142857143
2026-08-17,3.36285714285714
2026-08-18,3.36057142857143
2026-08-19,3.35728571428571
2026-08-20,3.355
2026-08-21,3.34728571428571
2026-08-24,3.34714285714286
2026-08-25,3.34457142857143
2026-08-26,3.34528571428571
2026-08-27,3.34514285714286
